Control_ID,Type,Summary,Source_Spans,Evidence_Basis,Implementation_Status,Acceptance_Status,Notes
D12-005,Decision,"No August 12 disposition for exact RQ wording or the prior terminology choices was observed in the current machine record; full-media bilingual human review remains pending.","Absence audit over S12-0001--S12-1064","Machine-record absence audit; 215 ASR gaps and full timeline pending human review","Deferred; supervisor disposition required",Pending,"Do not infer approval from silence or treat machine-record absence as a verified absence."
Q12-001,Open question,"What exact umbrella RQ and SQ1--SQ3 wording should be approved?","Carry-forward; not discussed on August 12","Cross-meeting control","Open",Pending,"Maps legacy D-RQ-01 and D-RQ-02."
Q12-002,Open question,"Should the umbrella wording use exploration or identification/classification?","Carry-forward; not discussed on August 12","Cross-meeting control","Open",Pending,"Maps legacy E6."
Q12-003,Open question,"Should the questions use human judgment, expert judgment, or a governed distinction between them?","Carry-forward; not discussed on August 12","Cross-meeting control","Open",Pending,"Maps legacy E8."
Q12-004,Open question,"What exact Plan A/Plan B wording and trigger should supervisors approve?","Carry-forward; not discussed on August 12","Cross-meeting control","Open",Pending,"Medical readiness remains separate."
Q12-005,Open question,"What evidence-boundary wording should be supervisor-approved?","Carry-forward; not discussed on August 12","Cross-meeting control","Open",Pending,"No accuracy or transfer claim is available."
Q12-006,Open question,"Should pre-existing Proposal v0.4 Section 4 be retained, revised after Chapter 2, or superseded?","S12-0907--S12-0915 plus document audit","Machine-derived sequencing plus repository audit","Open",Pending,"Do not delete or extend the draft during this tranche."
Q12-007,Open question,"What exact Boolean syntax was intended for the live-drafted Foundations query?","S12-0570--S12-0718","Fragmented machine ASR","Open",Pending,"Requires recording review or supervisor correction."
Q12-008,Open question,"What are the authoritative scholarship eligibility and submission-route requirements?","S12-0982--S12-1045 plus external call","Meeting statement plus external dependency","Open",Pending,"External source controls the answer."
Q12-009,Open question,"After the bounded corpus is screened, what additional coverage is necessary to support the proposal's gap claims?","S12-0925--S12-0949","Machine-derived scope boundary","Open",Pending,"Do not state no-framework-exists before evidence supports it."
R12-001,Risk or dependency,"Speaker attribution, Hebrew correction, English correction, and obligation classification remain unverified until two independent reviewers and adjudication finish.","Full media and ledger","Technical assurance finding","Open control",Pending,"Use supervisor-side statement and paraphrases."
R12-002,Risk or dependency,"The ASR interval union omits 215 lead/internal/tail intervals totaling 166.788 seconds; every gap needs audiovisual classification.","G12-0001--G12-0215","Deterministic timeline audit","Open control",Pending,"A full-media checkbox alone cannot silently dispose the gaps."
R12-003,Risk or dependency,"Claude's three historical drafts use missing and conflicting F/A identifiers, so their ID semantics are not authoritative.","Historical-draft handoff manifest and crosswalk","Repository audit","Mitigated by crosswalk; human content review pending",Pending,"F2--F4 and F6--F7 have no recoverable definitions."
R12-004,Risk or dependency,"Scholarship completion depends on Ali-controlled sending, authoritative eligibility/route confirmation, the missing recommendation, and receipts.","S12-0982--S12-1045 plus external controls","Machine-derived action plus external dependency","Open control",Pending,"A local draft is not delivery."
R12-005,Risk or dependency,"Medical readiness remains 0/6; reported partner discussions and data locations are not authorization.","S12-0405--S12-0487 plus master gate","Evidence-boundary control","Open control",Pending,"No medical row processing."
R12-006,Risk or dependency,"EXP-005 remains 0/24 safe expert labels.","Repository evidence register","Evidence-boundary control","Open control",Pending,"No accuracy, generalization, or effort claim."
R12-007,Risk or dependency,"The bounded corpus is appropriate for this tranche but cannot by itself establish exhaustive field coverage.","S12-0916--S12-0949","Scope-boundary control","Open control",Pending,"Label stronger gap claims as hypotheses."
R12-008,Risk or dependency,"The pre-existing methodology chapter may conflict with the closing literature-first sequencing.","S12-0907--S12-0915 plus Proposal v0.4 audit","Document-control finding","Open control",Pending,"Requires Q12-006 disposition."
R12-009,Risk or dependency,"Silence on RQ and terminology choices can be mistaken for approval.","Absence audit over S12-0001--S12-1064","Decision-governance finding","Open control",Pending,"D12-005 keeps these items visibly deferred."
