branch_id,parent_id,provenance,source_dimension,source_category,relevance,rq_mapping,study_artifact,vego_ai_interpretation,evidence_basis,claim_boundary
ACL-INT-DEL,ACL-INT-COLLAB,ACL-PAPER|ACL-REPO,Interaction Type,Delegation,LESS RELEVANT,SQ1,,Relevant to task assignment but not unrestricted autonomy,"Zou et al. 2026 Sec. 3.3.1","No delegation of final authority is approved"
ACL-INT-COORD,ACL-INT-COLLAB,ACL-PAPER|ACL-REPO,Interaction Type,Coordination,HIGHLY RELEVANT,SQ1|SQ2,Attention-budget cost/coverage model,Supports role routing and workflow-state alignment,"Zou et al. 2026 Sec. 3.3.1","Coordination does not decide which reviewer is authorized"
ACL-INT-COOP,ACL-INT-COLLAB,ACL-PAPER|ACL-REPO,Interaction Type,Cooperation,HIGHLY RELEVANT,U-RQ|SQ2,,Supports complementary evidence interpretation and correction,"Zou et al. 2026 Sec. 3.3.1","Joint work does not imply complementary performance"
ACL-INT-COMP,ACL-INT,ACL-PAPER|ACL-REPO,Interaction Type,Competition,NOT RELEVANT AT ALL,,,Outside the current human-agent relationship and evaluation contract,"Zou et al. 2026 Sec. 3.3.2","Future adversarial evaluation is separate from the current RQs"
ACL-INT-COOPET,ACL-INT,ACL-PAPER|ACL-REPO,Interaction Type,Coopetition,NOT RELEVANT AT ALL,,,No mixed cooperative/competitive objective exists in the current thesis,"Zou et al. 2026 Sec. 3.3.3","Do not broaden scope without an RQ and evaluation plan"
ACL-ORCH,,ACL-PAPER|ACL-REPO,Orchestration Paradigm,Major dimension,LESS RELEVANT,SQ1,Attention-budget cost/coverage model,Enabling structure for intervention modes and timing,"Zou et al. 2026 Sec. 3.4","Not the primary Study 1 contribution"
ACL-ORCH-SEQ,ACL-ORCH,ACL-PAPER|ACL-REPO,Orchestration Paradigm,One by one/sequential,LESS RELEVANT,SQ1,,Supports staged agent review human escalation and adjudication,"Zou et al. 2026 Sec. 3.4","No performance benefit is inferred"
ACL-ORCH-PAR,ACL-ORCH,ACL-PAPER|ACL-REPO,Orchestration Paradigm,Simultaneous/parallel,LESS RELEVANT,SQ2,,Potential independent parallel review and disagreement generation,"Zou et al. 2026 Sec. 3.4","Parallel outputs are not independent unless the protocol enforces independence"
ACL-ORCH-SYNC,ACL-ORCH,ACL-PAPER|ACL-REPO,Orchestration Paradigm,Synchronous,LESS RELEVANT,SQ1,Attention-budget cost/coverage model,Supports immediate high-consequence intervention,"Zou et al. 2026 Sec. 3.4","Immediate review may create excessive interruption cost"
ACL-ORCH-ASYNC,ACL-ORCH,ACL-PAPER|ACL-REPO,Orchestration Paradigm,Asynchronous,LESS RELEVANT,SQ1,Attention-budget cost/coverage model,Supports queue batch and audit modes,"Zou et al. 2026 Sec. 3.4","Delayed review may miss time-sensitive harm"
ACL-COMM,,ACL-PAPER|ACL-REPO,Communication,Major dimension,LESS RELEVANT,SQ1|SQ2,,Enabling evidence and feedback flow,"Zou et al. 2026 Sec. 3.5","Communication does not establish validity or permission"
ACL-COMM-CENT,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Centralized structure,LESS RELEVANT,SQ1|SQ2,,Potential orchestrator-mediated evidence and review flow,"Zou et al. 2026 Sec. 3.5","Centralization may create authority bottlenecks"
ACL-COMM-DECENT,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Decentralized structure,LESS RELEVANT,SQ2,,Potential independent agents/reviewers with reconciliation,"Zou et al. 2026 Sec. 3.5","Decentralization raises conflict and provenance requirements"
ACL-COMM-HIER,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Hierarchical structure,LESS RELEVANT,SQ1|SQ2,,Potential claim-specific escalation/adjudication tiers,"Zou et al. 2026 Sec. 3.5","Hierarchy does not automatically confer legitimate authority"
ACL-COMM-CONV,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Conversation mode,LESS RELEVANT,SQ1|SQ2,,Supports clarification and rationale capture,"Zou et al. 2026 Sec. 3.5","Unbounded transcripts are not a safe judgment representation"
ACL-COMM-OBS,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Observation mode,LESS RELEVANT,SQ1,,Supports implicit workflow/reliance signals,"Zou et al. 2026 Sec. 3.5","Observed behavior is ambiguous and not authoritative judgment"
ACL-COMM-POOL,ACL-COMM,ACL-PAPER|ACL-REPO,Communication,Message-pool mode,LESS RELEVANT,SQ2,,Supports shared evidence/dissent exchange,"Zou et al. 2026 Sec. 3.5","Shared pools require lineage access control and conflict handling"
VEGO-SQ1,,VEGO-AI-DERIVED,Selective intervention,Bounded expert attention,MISSING FROM ACL TAXONOMY,SQ1,Attention-budget cost/coverage model,Combines uncertainty consequence disagreement novelty evidence weakness value and burden,"Horvitz 1999; Madras et al. 2018; Mozannar and Sontag 2020; Mozannar et al. 2023; Buçinca et al. 2021; Dong et al. 2026","Formal searches and empirical effectiveness remain open"
VEGO-SQ2-REP,,VEGO-AI-DERIVED,Judgment representation,Reasoning-rich governed record,MISSING FROM ACL TAXONOMY,SQ2,Normative judgment-record contract + conformance suite,Preserves claim evidence surfaced trace rationale scope authority and outcome,"Kulesza et al. 2015; Moreau and Missier 2013; Alfrink et al. 2023; Aroyo and Welty 2015","Raykar/Aamodt anchor lineage is not resolved by this map"
VEGO-SQ2-GOV,,VEGO-AI-DERIVED,Governance lifecycle,Contestability and lifecycle,MISSING FROM ACL TAXONOMY,SQ2,Normative judgment-record contract + conformance suite,Adds validation dissent adjudication expiry supersession revocation and claim-specific authority,"PROV-DM; Alfrink et al. 2023; NIST AI RMF; VEGO-AI v10 Sec. 6","No claim that the contract is complete or implementation-independent before review"
VEGO-REUSE,,VEGO-AI-DERIVED,Scope-aware reuse,Retrieval-applicability-permission-advice-outcome,MISSING FROM ACL TAXONOMY,SQ2|SQ3,Transfer-eligibility decision procedure + target-context descriptor,Prevents similarity from becoming global policy,"Lewis et al. 2020; CBR predecessor family; provenance and authorization streams","Similarity-based retrieval alone does not establish beneficial reuse"
VEGO-SQ3,,VEGO-AI-DERIVED,Transfer eligibility,Context distance and leakage-safe evaluation,MISSING FROM ACL TAXONOMY,SQ3,Transfer-eligibility decision procedure + target-context descriptor,Classifies eligible adapted or blocked reuse and freezes target evaluation,"Ben-David et al. 2010; Koh et al. 2021; Ovadia et al. 2019; Fervers et al. 2006; Schünemann et al. 2017","No generalization safe-transfer or medical claim; EXP-005 0/24 and medical 0/6"
VEGO-SUBSTRATE,,VEGO-AI-DERIVED,Variability and guideline operationalization,Target problem substrate,MISSING FROM ACL TAXONOMY,U-RQ|SQ1|SQ2|SQ3,,Separates valid alternatives from mistakes under language domain and task evidence,"Galster et al. 2014; La Rosa et al. 2017; Ananieva et al. 2022; Bian et al. 2019/2020; VEGO-AI foundation manuscript","Substantial/occasional terminology remains a construct-validity risk"
