Category,Variable/signal,Measured from,Unit,Asking agent,Answering agent,Direct trigger?,Action,Not evidence of
communication_process_signal,S7_TERMINATED_MAX_ROUNDS,scripts/extract_qa_escalation_features.py :: termination_reason,Q&A episode,Recorded producer (Agent 2/3/4),Recorded target (Agent 1/2),YES,A complete episode ended because the configured maximum was reached. The result is a candidate label only.,It is not proof that a human would resolve the issue or that the system is wrong.
context_only_variable,C1_MAPPING_CERTAINTY,VEGO-AI/eval_output/*/agentB_best_guidelines.json :: mapping_certainty,guideline / mapping item,Not applicable,Not applicable,NO,Report as context only; do not promote to an alert without a separately approved rule.,Context-only; never a Detector-v1 trigger and never a correctness label.
context_only_variable,C2_AGENT4_CLASSIFICATION_CONFIDENCE,VEGO-AI/eval_output/*/agentD_variability_classes*.json :: variability_classifications[].confidence,variability classification,Not applicable,Not applicable,NO,Report as context only; do not promote to an alert without a separately approved rule.,Context-only; never a Detector-v1 trigger and never a performance measure.
context_only_variable,C3_AGENT4_REVIEW_FLAGS,VEGO-AI/eval_output/*/agentD_variability_classes*.json :: requires_human_review; flag_for_guidelines_update,variability classification,Not applicable,Not applicable,NO,Report as context only; do not promote to an alert without a separately approved rule.,Context-only; not a Detector-v1 trigger and not proof of an error or guideline defect.
semantic_mapping_output,MAPPING_SATISFIED,VEGO-AI/framework/orchestrator.py :: existing_mapping[].compliance_status == Satisfied,mapping item,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
semantic_mapping_output,MAPPING_PARTIALLY_SATISFIED,VEGO-AI/framework/orchestrator.py :: existing_mapping[].compliance_status == Partially-Satisfied,mapping item,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
semantic_mapping_output,MAPPING_NON_SATISFIED,VEGO-AI/framework/orchestrator.py :: existing_mapping[].compliance_status == Non-Satisfied (or other non-matching value is counted in the fallback bucket),mapping item,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
semantic_mapping_output,MAPPING_ALTERNATIVE,VEGO-AI/framework/agent4_variability_explorer.py :: dominant_fragment_label == Alternative / fragment label in Agent-4 pattern output,fragment or pattern,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
semantic_mapping_output,MAPPING_CERTAINTY,VEGO-AI/framework/agent2_domain_advisor.py :: existing_mapping[].mapping_certainty,mapping item,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
semantic_mapping_output,SOURCE_TARGET_ALIGNMENT,VEGO-AI/framework/qa_communication.py :: No canonical semantic alignment field; route metadata is source_agent/target_agent,route,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","A route does not prove semantic alignment, answer quality, or human need."
semantic_mapping_output,UNCOVERED_FRAGMENTS,VEGO-AI/framework/orchestrator.py :: PipelineState.uncovered_fragments and audit_uncovered_fragments output,case / fragment,Not applicable,Not applicable,NO,"Keep as an analysis output; any human-review use needs an explicit, separately governed policy.","It does not prove correctness, error, reviewer need, or generalization."
operational_action,CANDIDATE_FOR_HUMAN_REVIEW,scripts/extract_qa_escalation_features.py :: Detector-v1 candidate_alert == true for a complete episode,Q&A episode,Not applicable,Not applicable,NO,Reporting label only; it does not create an automatic correction.,"A candidate label is not a human decision, a queue insertion, correctness, or benefit."
operational_action,Q_AND_A_QUEUE_BINDING,VEGO-AI/framework/human_review_queue.py :: No Q&A Detector-v1 enqueue call; separate Agent-4 queue builder exists,Q&A episode / review item,Not applicable,Not applicable,NO,No automatic queue or correction is implemented for these Q&A signals; this is a reporting label only.,"No automatic queue, correction, source change, target change, or model replacement is implied."
operational_action,AUTOMATIC_SOURCE_OR_MODEL_CHANGE,Not implemented in the reviewed code :: No canonical field or call path,run,Not applicable,Not applicable,NO,"No source, guideline, target, or model is changed automatically by this package.","No automatic queue, correction, source change, target change, or model replacement is implied."
