"Gap","Candidate_refuter","Citation","Exact_capability","What_it_matches","What_it_does_not_match","Evidence","Verdict","Effect_on_proposal","Source_verified"
"GAP-1 / SQ1","Statutory requirement that human overseers hold competence AND authority","Regulation (EU) 2024/1689 (Artificial Intelligence Act), Article 26(2).","Legal obligation on deployers of high-risk AI systems: 'Deployers shall assign human oversight to natural persons who have the necessary competence, training and authority, as well as the necessary support.'","Explicitly conjoins competence AND authority as joint requirements on a human overseer - the exact pair GAP-1 is built on. The conjunction is therefore already a stated normative requirement in binding regulation.","Imposes a requirement on the assignment of oversight duty at role and deployment level; supplies no mechanism, no per-claim selection procedure, no competence assessment method and no evaluation. It states that the conjunction must hold, not how to decide it for one contested claim.","Article 26(2) text quoted verbatim from the consolidated article text (artificialintelligenceact.eu/article/26); regulation identifier Regulation (EU) 2024/1689.","NEAR_MISS","Significant for the claim audit. The proposal must not present the competence-plus-authority conjunction as conceptually novel, because binding EU regulation already requires it. Novelty must be relocated to the OPERATIONALISATION: a per-claim, evidence-conditioned, budgeted routing policy that has been evaluated. This strengthens the motivation while removing an overclaim.","YES - consolidated Article 26 text; the candidate should re-verify against the EUR-Lex Official Journal text before citing"
"GAP-1 / SQ1","Human-AI delegation and productive delegation","J. Fugener, J. Grahl, A. Gupta, W. Ketter, 'Cognitive Challenges in Human-Artificial Intelligence Collaboration: Investigating the Path Toward Productive Delegation', Information Systems Research 33(2):678-696, 2022, doi:10.1287/isre.2021.1079.","Experimental study of who should delegate to whom between a human and an AI, and of humans' metacognitive inability to judge their own relative competence.","Directly evidences that self-assessed competence is an unreliable routing signal, which supports designing routing as a system decision rather than a reviewer's choice.","Two-party delegation between one human and one model; no selection among differentiated reviewers; no authority; the unit is a prediction task.","DOI, journal, volume, pages 678-696 and year confirmed via Crossref.","SUPPORTING_BACKGROUND","Add to Section 2.3 as empirical support for system-initiated rather than self-selected review.","YES - Crossref"
"GAP-2 / SQ2","Micropublications: a semantic model for claims, evidence, arguments and annotations","T. Clark, P. N. Ciccarese, C. A. Goble, 'Micropublications: a semantic model for claims, evidence, arguments and annotations in biomedical communications', Journal of Biomedical Semantics 5:28, 2014, doi:10.1186/2041-1480-5-28.","An OWL 2 / RDF model whose unit of record is a single CLAIM, carrying its attribution, supporting data, methods and materials, the argument connecting evidence to the claim, and explicitly represented challenges and opposition.","Claim-level unit; reasoning-level content (argument and evidence, not only the conclusion); attribution to an agent; provenance; and RETAINED DISAGREEMENT as a first-class relation - the model is explicitly designed to support challenge and disagreement rather than collapse to one verdict. The closest identified match to the SQ2 record, and absent from the anchor set.","No validity SCOPE on the claim; no competence or authority attached to the claiming agent beyond identity attribution; no lifecycle - no expiry, no supersession condition, no revocation semantics, no version binding to a specific artefact version; and no evaluation of reconstructability or capture cost.","Title, authors, journal, article number, year and DOI confirmed via Crossref and OpenAlex. Abstract obtained via OpenAlex: the model provides statements with attribution, supports 'challenge and disagreement', and maximal forms include 'all relevant evidence, interpretations, discussions, challenges brought forward or opposition'.","POSSIBLE_REFUTER","Requires the Section 2.4 sentence 'No record format combines reasoning-level content, scope, authority, retained disagreement, and a lifecycle at claim level' to be narrowed. Reasoning-level content plus retained disagreement plus provenance at claim level ALREADY EXISTS. The residual is scope, authority/competence and lifecycle. This paper must be cited.","YES - Crossref and OpenAlex"
"GAP-2 / SQ2","Nanopublications","P. Groth, A. Gibson, J. Velterop, 'The anatomy of a nanopublication', Information Services and Use 30(1-2):51-56, 2010, doi:10.3233/isu-2010-0613.","A minimal citable unit consisting of an assertion plus its provenance plus publication information, immutable and individually identified.","Claim-level unit with provenance and version-exact identity by construction; individually addressable and citable, which is the version-binding property SQ2 requires.","The assertion is a factual statement, not a governed human judgment; no rationale or argument structure (that is what micropublications add); no competence or authority; no expiry or lapse condition; retraction is an ecosystem convention rather than a modelled lifecycle state.","Title, authors, journal, volume, pages 51-56, year and DOI confirmed via Crossref.","POSSIBLE_REFUTER","Concede version-exact claim-level provenance as existing prior art. Cite alongside micropublications.","YES - Crossref"
"GAP-2 / SQ2","Decision provenance","J. Singh, J. Cobbe, C. Norval, 'Decision Provenance: Harnessing Data Flow for Accountable Systems', IEEE Access 7:6562-6574, 2019, doi:10.1109/access.2018.2887201.","Applies provenance methods specifically to DECISIONS in data-driven systems, to make the decision pipeline inspectable and accountable across system boundaries.","Makes the same move SQ2 makes - from data lineage to decision accountability - and is framed around legal accountability and redress.","Records how a decision was produced; does not represent a human judgment as a reusable governed object with scope, authority, competence or a lapse condition; no adjudication of conflicting qualified judgments.","DOI, journal, volume, pages 6562-6574 and year confirmed via Crossref.","POSSIBLE_REFUTER","Must be cited. It occupies the conceptual space between PROV-DM [47] and SQ2 and is currently missing from the anchor set, which weakens the claim that the step from provenance to governed judgment is unmade.","YES - Crossref"
"GAP-2 / SQ2","Truth maintenance systems","J. Doyle, 'A truth maintenance system', Artificial Intelligence 12(3):231-272, 1979, doi:10.1016/0004-3702(79)90008-0.","Maintains justifications for each stored belief and retracts beliefs automatically when their supporting justifications are withdrawn (dependency-directed backtracking).","Supplies the assertion-lifecycle machinery SQ2 asks for: an assertion holds only while its support holds, and loses status automatically when support is withdrawn. This is a REASON-CONDITIONED lapse mechanism, which the proposal states provenance lacks.","Support is a logical dependency on other beliefs, not an external validity condition such as a changed guideline, an expiry date or a revoked mandate; no human agent, competence, authority or disagreement; no rationale intended for human consumption.","DOI, journal, volume, pages 231-272 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","The proposal already names truth maintenance as an exposed area; this audit confirms the exposure is real. The 'consequence obliging an invalidated judgment to stop influencing decisions' that Section 2.4 says provenance lacks is exactly what a TMS provides. Section 2.4 must concede this and relocate the residual to human-authored, authority-bearing judgments.","YES - Crossref"
"GAP-2 / SQ2","Assumption-based truth maintenance","J. de Kleer, 'An assumption-based TMS', Artificial Intelligence 28(2):127-162, 1986, doi:10.1016/0004-3702(86)90080-9.","Maintains multiple simultaneous, mutually inconsistent contexts, each labelled by the assumption set under which it holds.","Represents conflicting conclusions concurrently WITHOUT collapsing them to one verdict, each with the conditions under which it holds - structurally the retained-disagreement-plus-scope combination SQ2 asks for.","Assumptions are propositional, not organisational scope or authority; no human attribution; no expiry or revocation by mandate.","DOI, journal, volume, pages 127-162 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","Strengthens the narrowing of GAP-2's retained-disagreement and scope elements. Cite as the formal predecessor for scoped, conflicting assertions.","YES - Crossref"
"GAP-2 / SQ2","AGM belief revision","C. E. Alchourron, P. Gardenfors, D. Makinson, 'On the logic of theory change: Partial meet contraction and revision functions', Journal of Symbolic Logic 50(2):510-530, 1985, doi:10.2307/2274239.","Axiomatic theory of how a belief set should change under expansion, contraction and revision, with rationality postulates and an epistemic-entrenchment ordering over which beliefs yield first.","Supplies a principled account of WHICH assertion should give way when a stored commitment conflicts with new information - the normative core of supersession.","Set-theoretic and agent-neutral; no provenance, attribution, scope, authority or time; not a record format, and never evaluated as a capture mechanism.","DOI 10.2307/2274239, journal, volume, pages 510-530 and year 1985 confirmed via Crossref.","PARTIAL_PREDECESSOR","Cite as the normative predecessor for supersession. Enters via the documented pre-2015 snowballing exception.","YES - Crossref"
"GAP-2 / SQ2","Ontology change and ontology evolution","G. Flouris, D. Manakanatas, H. Kondylakis, D. Plexousakis, G. Antoniou, 'Ontology change: classification and survey', The Knowledge Engineering Review 23(2):117-152, 2008, doi:10.1017/s0269888908001367; F. Zablith et al., 'Ontology evolution: a process-centric survey', The Knowledge Engineering Review, doi:10.1017/s0269888913000349.","Surveys of how a knowledge structure is versioned, changed and kept consistent over time, including change classification, versioning and evolution processes.","Establishes versioning and change management over stored knowledge as a mature research area with an explicit process view - covering the version-binding and supersession elements of SQ2.","Operates on schema and ontology artefacts, not on individual human judgments; no competence, authority, disagreement or per-assertion expiry keyed to a governing policy.","Both DOIs, the 2008 volume and pages 117-152, and the process-centric survey record confirmed via Crossref.","PARTIAL_PREDECESSOR","Cite as the versioning and supersession predecessor. Note the Zablith issue year (KER vol. 30) versus the Crossref online-first year when citing.","YES - Crossref (both)"
"GAP-2 / SQ2","Temporal RDF and validity intervals","C. Gutierrez, C. A. Hurtado, A. Vaisman, 'Introducing Time into RDF', IEEE Transactions on Knowledge and Data Engineering 19(2):207-218, 2007, doi:10.1109/tkde.2007.34.","Adds temporal validity to RDF assertions so that a statement holds only over a stated time interval, with semantics and entailment for temporal graphs.","A lifecycle state able to LAPSE ON A STATED CONDITION at assertion level - one of the two findings the proposal itself declares would remove the need for Study 2.","The lapse condition is strictly a time interval; it cannot express 'lapses when the guideline changes', 'lapses when the mandate is withdrawn' or 'lapses when challenged by a more authorised reviewer'; and it carries no rationale, competence, authority or disagreement.","DOI, journal, volume, pages 207-218 and year confirmed via Crossref.","POSSIBLE_REFUTER","Directly engages SQ2's second stated refutation condition and must be addressed head-on. It satisfies that condition under a time-only reading of 'stated condition'. The proposal should tighten the refutation condition to a non-temporal, policy-or-evidence-keyed lapse condition; otherwise temporal RDF arguably meets it as written.","YES - Crossref"
"GAP-2 / SQ2","Learning from annotator disagreement","A. Uma, T. Fornaciari, D. Hovy, S. Paun, B. Plank, M. Poesio, 'Learning from Disagreement: A Survey', Journal of Artificial Intelligence Research 72:1385-1470, 2021, doi:10.1613/jair.1.12752.","Survey of methods that preserve and learn from disagreement among qualified annotators instead of aggregating to a single gold label.","Establishes preserved disagreement as a mature, surveyed research area, well beyond the single position the proposal cites via crowd truth [50].","Concerns label distributions for model training; no per-judgment record with scope, authority or lifecycle; adjudication to an authoritative verdict is precisely what it avoids.","DOI, journal, volume, pages 1385-1470 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","Section 2.4 currently rests the disagreement point on one 2015 AI Magazine article. Citing this survey and Davani et al. materially strengthens the section and removes an under-evidencing risk.","YES - Crossref"
"GAP-2 / SQ2","Modelling annotators individually rather than by majority vote","A. M. Davani, M. Diaz, V. Prabhakaran, 'Dealing with Disagreements: Looking Beyond the Majority Vote in Subjective Annotations', Transactions of the ACL 10:92-110, 2022, doi:10.1162/tacl_a_00449.","Multi-annotator architectures that model each annotator's judgments separately rather than collapsing them to a majority label.","Retains per-person judgments as distinct, attributable objects - the identity-preserving half of retained disagreement.","No scope, authority, competence-for-this-claim, lifecycle or adjudication procedure; annotators are interchangeable modelling units, not mandated reviewers.","DOI, journal, volume, pages 92-110 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","Cite with Uma et al. and Plank (2022, doi:10.18653/v1/2022.emnlp-main.731) to evidence the disagreement claim properly.","YES - Crossref"
"GAP-2 / SQ2","Design rationale: Questions, Options, Criteria","A. MacLean, R. M. Young, V. M. E. Bellotti, T. P. Moran, 'Questions, Options, and Criteria: Elements of Design Space Analysis', Human-Computer Interaction 6(3-4):201-250, 1991, doi:10.1207/s15327051hci0603&4_2.","A representation capturing, for each design question, the options considered and the criteria by which they were assessed.","Captures reasoning structure and the alternatives NOT chosen, at the level of an individual question - close to the proposal's claim-level rationale requirement, and it records why rejected readings were rejected.","No authority, competence, provenance binding to artefact versions, expiry or revocation; never evaluated for blind reconstructability or capture cost; a design-time artefact rather than a governed operational record.","DOI, journal, volume, pages 201-250 and year confirmed via Crossref.","PARTIAL_PREDECESSOR","Design rationale is an entire predecessor literature for SQ2 that the anchor set omits. Its omission is a genuine coverage gap in Chapter 2, not merely a missing citation.","YES - Crossref"
"GAP-2 / SQ2","Issue-based rationale capture with retained positions and arguments","J. Conklin, M. L. Begeman, 'gIBIS: a hypertext tool for exploratory policy discussion', ACM Transactions on Information Systems 6(4):303-331, 1988, doi:10.1145/58566.59297.","Hypertext realisation of IBIS: issues, alternative positions on each issue, and arguments supporting or objecting to each position, retained as a linked structure.","Retains competing positions and their supporting and opposing arguments per issue WITHOUT resolving them to one verdict - structurally the retained-disagreement requirement, demonstrated in 1988.","No authority model, no competence, no version binding, no expiry, no reuse-authorisation decision, and no evaluation of downstream reconstruction.","DOI, journal, volume, pages 303-331 and year confirmed via Crossref (a companion CSCW 1988 proceedings version exists at doi:10.1145/62266.62278, pp. 140-152).","PARTIAL_PREDECESSOR","Cite as the earliest demonstration of retained per-issue disagreement. Enters via the pre-2015 snowballing exception.","YES - Crossref"
"GAP-2 / SQ2","Architectural design decisions as first-class records","A. Jansen, J. Bosch, 'Software Architecture as a Set of Architectural Design Decisions', WICSA 2005, pp. 109-120, doi:10.1109/wicsa.2005.61; J. Tyree, A. Akerman, 'Architecture Decisions: Demystifying Architecture', IEEE Software 22(2):19-27, 2005, doi:10.1109/ms.2005.27.","Treats each design decision as a persistent, first-class record carrying rationale, considered alternatives, assumptions, constraints and consequences; Tyree and Akerman give an explicit decision-record template.","A decision record with rationale, alternatives and a stated scope of applicability, retained for later readers - a direct software-engineering predecessor for the SQ2 record, including the notion that a decision can later be superseded.","No claim-level binding to an artefact version, no competence or authority field, no expiry condition, no adjudication of conflicting qualified judgments, and no evaluated reconstructability.","Both DOIs, pages and the 2005 year confirmed via Crossref.","PARTIAL_PREDECESSOR","The architecture-decision-record lineage is the nearest software-engineering-native predecessor to SQ2 and is absent from the anchor set. It should be added, and the SQ2 record positioned as an extension of it.","YES - Crossref (both)"
"GAP-2 / SQ2","Compiling user corrections into runtime enforcement","Y. Zhou et al., 'Getting Better at Working With You: Compiling User Corrections into Runtime Enforcement for Coding Agents', arXiv:2606.13174, submitted 11 June 2026.","Mines user corrections from chat, rewrites them as atomic rules, and compiles them into runtime checks that must pass before an agent completes later tasks.","Demonstrates empirically that a remembered correction does not become compliance without an enforcement mechanism, and that compiled enforcement reduces held-out violation substantially - the enforcement-consequence element SQ2 requires.","Rules are derived automatically from corrections rather than authored as governed human judgments; no scope, authority, competence, retained disagreement, provenance binding or lifecycle; not peer reviewed.","arXiv identifier, title, full author list, submission date 11 June 2026 and abstract confirmed on the arXiv abstract page; no peer-reviewed venue is stated.","PARTIAL_PREDECESSOR","Proposal reference [52] already marks this as a preprint and reads it as such - correct handling. Must remain Tier C and must not support any absence claim.","YES - arXiv abstract page; TIER C PREPRINT, not peer reviewed"
"GAP-3 / SQ3","Case provenance in case-based reasoning","D. Leake, M. Whitehead, 'Case Provenance: The Value of Remembering Case Sources', ICCBR 2007, LNCS, pp. 194-208, doi:10.1007/978-3-540-74141-1_14.","Records where each stored case came from and uses that provenance to inform later retrieval and case-base maintenance decisions.","Combines case-level provenance with a decision about the later USE of a stored case - the closest CBR predecessor to a governed reuse decision, and absent from the anchor set.","Provenance informs competence and maintenance of the store; it does not decide whether one stored judgment may act in one specific later context under someone's authority, and applies no authorisation, currency or target-evidence test.","DOI, pages 194-208 and year 2007 confirmed via Crossref.","POSSIBLE_REFUTER","Must be cited. It sits between Aamodt and Plaza [53] and Smyth and Keane [54], and narrows the claim that CBR maintenance decides only whole-store competence.","YES - Crossref"
"GAP-3 / SQ3","Case-base maintenance: dimensions and directions","D. B. Leake, D. C. Wilson, 'Categorizing case-base maintenance: Dimensions and directions', EWCBR 1998, LNCS, pp. 196-207, doi:10.1007/bfb0056333.","A framework classifying case-base maintenance policies by what is revised, when, how it is triggered and on what data.","Supplies the established vocabulary for retention and revision policies over stored experience, against which SQ2 and SQ3 retention decisions should be positioned.","Maintenance operates over the store to preserve aggregate competence; it does not license or refuse an individual reuse event, and has no authorisation or target-context test.","DOI, pages 196-207 and year 1998 confirmed via Crossref.","PARTIAL_PREDECESSOR","Cite alongside [54] so the retention-policy comparator is the maintenance literature as a whole rather than a single 1995 paper.","YES - Crossref"
"GAP-3 / SQ3","Intelligent lessons-learned systems","R. Weber, D. W. Aha, I. Becerra-Fernandez, 'Intelligent lessons learned systems', Expert Systems with Applications 20(1):17-34, 2001, doi:10.1016/s0957-4174(00)00046-4.","Surveys organisational lessons-learned systems and the process by which a recorded lesson is collected, verified, stored, disseminated and applied in later work.","The lesson lifecycle it describes includes explicit VERIFICATION and RE-USE steps, and the survey's central finding is that lessons fail to influence later decisions unless delivery is embedded in the decision process - closely parallel to the proposal's enforcement-consequence argument for SQ2 and SQ3.","Lessons are organisation-level narrative records, not claim-level judgments; no authority binding, no expiry condition, no similarity or applicability calculus, and no separation of a local quirk from a transferable limitation on independent evidence.","DOI, journal, volume, pages 17-34 and year confirmed via Crossref.","POSSIBLE_REFUTER","Organisational memory and lessons-learned systems are a required SQ3 adjacent literature and are entirely absent from the anchor set. This omission must be closed; the residual difference is the claim-level unit and the independent target-evidence test.","YES - Crossref"
"GAP-3 / SQ3","Access-control-aware retrieval-augmented generation","B. Chen, J. Tackman, M. Setala, T. Poranen, Z. Zhang, 'Integrating Access Control with Retrieval-Augmented Generation: A Proof of Concept for Managing Sensitive Patient Profiles', ACM SAC 2025, pp. 915-919, doi:10.1145/3672608.3707848; B. Chen, T. Taipalus, 'Metadata-aware RAG for Enforcing Access Control and Metadata-based Filtering: Proof of Concept and Evaluation', RACS 2025, pp. 1-7, doi:10.1145/3769002.3769952.","Enforces fine-grained access control and metadata filtering at the retrieval stage, so that only passages the requesting user is entitled to use can enter the prompt.","Directly joins similarity retrieval with an authorisation test on the retrieved item - two of the four questions Section 2.4 says a single retrieval step conflates. Entitlement is decided by policy, before augmentation.","Authorisation is subject-object read permission, not authority to let a prior JUDGMENT act; no currency or validity test on the retrieved item; no applicability appraisal against the target context; no benefit or safety test; both are explicitly proofs of concept, one a five-page short paper.","Both DOIs, venues, page ranges and the 2025 year confirmed via Crossref.","POSSIBLE_REFUTER","Requires narrowing of the Section 2.4 statement that retrieval 'carries no test of whether the passage may be used'. That is true of vanilla RAG [58] but no longer true of the 2025 retrieval literature. The residual is currency, applicability and benefit - not authorisation.","YES - Crossref (both); TIER B, proof-of-concept only"
