"paper_id","full_citation","year","venue","doi_url","peer_review_status","query_family","discovery_source","extraction_depth","research_problem","unit_of_decision","human_role","when_human_is_involved","who_is_selected","selection_signal","competence_modelled","authority_modelled","authority_distinct_from_competence","judgment_representation","rationale_captured","scope_captured","provenance","disagreement_preserved","version_binding","expiry","revocation","supersession","contestability","reuse_supported","reuse_scope","authorization_checked","validity_checked","target_context_checked","independent_target_evidence","local_vs_transferable_failure_classification","evaluation_type","dataset","participants","baseline","metrics","main_result","relationship_to_our_gap","exact_gap_effect","limitations","verified_source"
"G2-03","J. Singh, J. Cobbe, C. Norval, 'Decision Provenance: Harnessing Data Flow for Accountable Systems', IEEE Access 7, pp. 6562-6574, 2019.","2019","IEEE Access","https://doi.org/10.1109/access.2018.2887201","Tier A - peer-reviewed journal","QL-03","Adjacent-literature search on decision-level provenance; Crossref verification","metadata_and_abstract","How to make decisions taken by data-driven and interconnected systems inspectable and accountable, including across organisational boundaries.","One system decision","Accountable party, auditor, and data subject seeking redress","After the decision, for audit, explanation and redress","not_applicable","not_applicable","NO","NO","NO","Provenance records of the data flows and processing steps that produced the decision","PARTIAL - the causal pipeline is recorded, not human reasoning","NO","YES - the central contribution","NO","PARTIAL - pipeline versions can be recorded","NO","NO","NO","PARTIAL - motivated by accountability and redress, but no modelled challenge relation","NO","not_applicable","NO","NO","NO","NO","NO","Conceptual and legal analysis with system-design implications; no controlled evaluation","not_applicable","not_applicable","General-purpose data provenance (PROV)","None reported","Argues for and frames decision provenance: applying provenance methods specifically to decision pipelines to support legal and organisational accountability.","POSSIBLE_REFUTER","Occupies the conceptual space between PROV-DM [47] and SQ2, and is absent from the anchor set. Its omission weakens the claim that the step from provenance to governed decision records is unmade.","Records how a decision was produced; does not make a human judgment a reusable governed object with scope, authority or a lapse condition; no adjudication of conflicting qualified judgments.","Crossref (DOI, journal, volume, pages 6562-6574, 2019)"
"G2-04","J. Doyle, 'A truth maintenance system', Artificial Intelligence 12(3), pp. 231-272, 1979.","1979","Artificial Intelligence","https://doi.org/10.1016/0004-3702(79)90008-0","Tier A - peer-reviewed journal","QL-03 (pre-2015, snowballing exception)","Mandatory adjacent-literature target named in proposal Section 2.6; Crossref verification","metadata_and_abstract","How a reasoning system should maintain a consistent set of beliefs when assumptions and justifications change, without recomputing everything.","One belief (assertion) in the belief store","not_applicable","not_applicable","not_applicable","not_applicable","NO","NO","NO","Node with justifications recording which other beliefs support it","PARTIAL - logical justification, not human rationale","PARTIAL - a belief holds only in contexts where its justification holds","YES - the justification structure is a dependency provenance record","NO - the system drives to one consistent state","NO","PARTIAL - a belief loses status when its justification lapses; the condition is logical, not temporal","YES - dependency-directed backtracking withdraws beliefs automatically when support is withdrawn","YES - beliefs are replaced when justifications change","NO","not_applicable","not_applicable","NO","YES - continuously, against current justification status","NO","NO","NO","Formal system design with worked examples","not_applicable","not_applicable","Non-monotonic reasoning without dependency tracking","None reported","A system that records justifications for beliefs and automatically retracts beliefs whose support is withdrawn, via dependency-directed backtracking.","PARTIAL_PREDECESSOR","Confirms the exposure the proposal itself declares. The consequence obliging an invalidated judgment to stop influencing decisions that Section 2.4 says provenance lacks is exactly what a TMS supplies. Section 2.4 must concede this and relocate its residual to human-authored, authority-bearing judgments.","Support is logical dependency, not an external validity condition such as a changed guideline or withdrawn mandate; no human agent, competence, authority, disagreement or human-readable rationale.","Crossref (DOI, journal, volume, pages 231-272, 1979)"
"G2-05","J. de Kleer, 'An assumption-based TMS', Artificial Intelligence 28(2), pp. 127-162, 1986.","1986","Artificial Intelligence","https://doi.org/10.1016/0004-3702(86)90080-9","Tier A - peer-reviewed journal","QL-03 (pre-2015, snowballing exception)","Mandatory adjacent-literature target named in proposal Section 2.6; Crossref verification","metadata_and_abstract","How to reason simultaneously in multiple, mutually inconsistent contexts rather than maintaining a single consistent belief state.","One assertion, labelled with the assumption sets under which it holds","not_applicable","not_applicable","not_applicable","not_applicable","NO","NO","NO","Node with a label of minimal assumption sets (environments) supporting it","PARTIAL - assumption-set support","YES - each assertion carries the assumption context in which it is valid","YES","YES - mutually inconsistent conclusions are maintained concurrently, each with its supporting context","NO","PARTIAL - contingent on assumption validity","YES","PARTIAL","PARTIAL - competing contexts coexist but there is no challenge procedure","not_applicable","not_applicable","NO","YES - per assumption environment","NO","NO","NO","Formal system design with complexity discussion and worked examples","not_applicable","not_applicable","Justification-based TMS (Doyle)","None reported","An assumption-based TMS that maintains all consistent contexts simultaneously, labelling each assertion with the minimal assumption sets under which it holds.","PARTIAL_PREDECESSOR","Supplies retained disagreement combined with explicit scope-of-validity, formally, in 1986. Narrows two of GAP-2's elements simultaneously.","Assumptions are propositional, not organisational scope or authority; no human attribution, competence or mandate-based revocation.","Crossref (DOI, journal, volume, pages 127-162, 1986)"
"G2-06","C. Gutierrez, C. A. Hurtado, A. Vaisman, 'Introducing Time into RDF', IEEE Transactions on Knowledge and Data Engineering 19(2), pp. 207-218, 2007.","2007","IEEE TKDE","https://doi.org/10.1109/tkde.2007.34","Tier A - peer-reviewed journal","QL-03","Adjacent-literature search on temporal validity and validity intervals; Crossref verification","metadata_and_abstract","RDF has no standard way to state that an assertion holds only over a period of time; a temporal semantics and entailment regime is needed.","One RDF triple with a temporal label","not_applicable","not_applicable","not_applicable","not_applicable","NO","NO","NO","Temporally labelled triple","NO","YES - temporal scope of validity","NO","NO","PARTIAL - temporal versions of a graph","YES - an assertion ceases to hold at the end of its validity interval, a lapse on a stated condition","PARTIAL","PARTIAL - by a later-interval assertion","NO","PARTIAL - temporal queries retrieve assertions valid at a stated time","Within the temporal graph","NO","YES - but strictly temporally","NO","NO","NO","Formal - semantics, entailment and complexity results","not_applicable","not_applicable","Atemporal RDF semantics","Formal complexity","A temporal extension of RDF with semantics and entailment, giving assertions explicit validity intervals.","POSSIBLE_REFUTER","Engages SQ2's second stated refutation condition head-on, a lifecycle state able to lapse on a stated condition, and satisfies it under a time-only reading. The proposal must tighten that condition to a non-temporal, policy-or-evidence-keyed lapse, or concede the point.","The lapse condition is strictly a time interval; it cannot express lapse on guideline change, mandate withdrawal or challenge by a more authorised reviewer; no rationale, competence, authority or disagreement.","Crossref (DOI, journal, volume, pages 207-218, 2007)"
"G2-07","A. Uma, T. Fornaciari, D. Hovy, S. Paun, B. Plank, M. Poesio, 'Learning from Disagreement: A Survey', Journal of Artificial Intelligence Research 72, pp. 1385-1470, 2021.","2021","JAIR","https://doi.org/10.1613/jair.1.12752","Tier A - peer-reviewed journal (survey)","QL-03","Adjacent-literature search on annotation disagreement; Crossref verification","metadata_and_abstract","How to treat systematic disagreement among qualified annotators as signal rather than noise, and how to train and evaluate models accordingly.","One annotation item and its label distribution","Annotator whose judgment is retained rather than aggregated away","At annotation time","not_applicable","not_applicable","PARTIAL - annotator reliability models appear in the surveyed corpus","NO","NO","Per-annotator labels or a soft label distribution rather than a single gold label","NO","NO","PARTIAL - annotator identity retained","YES - the central subject of the survey","NO","NO","NO","NO","NO","YES - as training and evaluation signal","Model training and evaluation","NO","NO","NO","NO","NO","Survey of methods, datasets and evaluation practices","Multiple annotation corpora surveyed","not_applicable","Majority-vote gold-standard aggregation","Soft-label and distribution-aware evaluation measures","Surveys and systematises methods that learn from annotator disagreement, showing that aggregating to a single gold label destroys recoverable information.","PARTIAL_PREDECESSOR","Section 2.4 currently rests the disagreement claim on a single 2015 AI Magazine article. Citing this survey removes an under-evidencing risk without weakening the gap, since none of the surveyed methods adjudicates to an authoritative verdict.","Concerns label distributions for model training; no per-judgment governed record, scope, authority or lifecycle; adjudication to a verdict is explicitly avoided rather than solved.","Crossref (DOI, journal, volume, pages 1385-1470, 2021)"
"G2-08","A. MacLean, R. M. Young, V. M. E. Bellotti, T. P. Moran, 'Questions, Options, and Criteria: Elements of Design Space Analysis', Human-Computer Interaction 6(3-4), pp. 201-250, 1991.","1991","Human-Computer Interaction","https://doi.org/10.1207/s15327051hci0603&4_2","Tier A - peer-reviewed journal","QL-03 (pre-2015, snowballing exception)","Adjacent-literature search on rationale capture; Crossref verification","metadata_and_abstract","How to represent the reasoning behind a design so that the alternatives considered and the criteria applied remain available to later readers.","One design question","Designer who states questions, options and criteria","During design deliberation and documentation","not_applicable","not_applicable","NO","NO","NO","Semi-formal QOC structure: questions, the options answering each, and the criteria assessing the options","YES - including the alternatives not chosen and why","PARTIAL - scoped to the design question","NO","PARTIAL - competing options and conflicting criteria are retained, though not attributed to disagreeing people","NO","NO","NO","NO","PARTIAL - the structure invites re-argument but specifies no challenge procedure","PARTIAL - the design space can be revisited","Later design work on the same artefact","NO","NO","NO","NO","NO","Conceptual framework with worked design examples; no controlled study of capture cost or later reconstruction","not_applicable","not_applicable","Narrative design documentation and IBIS-style rationale","None reported","A representation of design rationale as questions, options and criteria, making the considered design space explicit and inspectable.","PARTIAL_PREDECESSOR","Design rationale is an entire predecessor literature for SQ2 that the anchor set omits. Its absence is a genuine Chapter 2 coverage gap, not merely a missing citation. It does not close GAP-2 because it lacks authority, provenance binding and lifecycle.","No authority, competence, version binding, expiry or revocation; never evaluated for blind reconstructability or capture cost; design-time rather than governed operational record.","Crossref (DOI, journal, volume, pages 201-250, 1991)"
"G3-01","T. Zimmermann, N. Nagappan, H. Gall, E. Giger, B. Murphy, 'Cross-project defect prediction: a large scale experiment on data vs. domain vs. process', Proc. 7th Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE 2009), pp. 91-100, 2009.","2009","ESEC/FSE 2009","https://doi.org/10.1145/1595696.1595713","Tier A - peer-reviewed major conference","QL-04","Adjacent-literature search on transferable-versus-local failure attribution; Crossref verification","metadata_and_abstract","When does a defect predictor built on one software project actually work on a different project, and which data, domain and process characteristics determine that?","One source-to-target transfer decision (a project pair)","Analyst deciding whether to reuse a foreign predictor","Before reuse, at the transfer decision","not_applicable","not_applicable","NO","NO","NO","A fitted statistical prediction model, not a judgment record","NO","PARTIAL - transfer validity characterised per project pair","PARTIAL - the source project of each predictor is recorded","NO","NO","NO","NO","NO","NO","YES - reuse of a source predictor in a target project is the object of study","Across projects and organisations","NO","NO","YES - transfer is assessed against the target project's own characteristics","YES - measured against independent labelled outcomes in the target project","PARTIAL - determines empirically whether a predictive relationship is project-local or transfers, but does not attribute a recurring correction to a pipeline limitation versus a local cause","Large-scale controlled empirical experiment over many source-target pairs","Industrial and open-source projects yielding several hundred cross-project prediction pairs","not_applicable","Within-project prediction","Precision, recall and accuracy thresholds for transfer success","Cross-project transfer succeeded in only a small fraction of the tested pairs; transfer success depends systematically on data, domain and process characteristics rather than on similarity of domain alone.","POSSIBLE_REFUTER","The strongest challenge to GAP-3's methodological novelty. Empirical, target-evidence-based transfer testing per source-target pair is established software-engineering practice. GAP-3's residual must be located in the unit (one recorded human judgment, one reuse event) and in the joint similarity, applicability, authorisation, currency and benefit test.","The transferred object is a fitted model over labelled defect data, not one expert's judgment about one contested claim; no authorisation, validity or benefit gate on the individual reuse event.","Crossref (DOI, venue, pages 91-100, 2009)"
"G3-02","B. Turhan, T. Menzies, A. B. Bener, J. Di Stefano, 'On the relative value of cross-company and within-company data for defect prediction', Empirical Software Engineering 14(5), pp. 540-578, 2009.","2009","Empirical Software Engineering","https://doi.org/10.1007/s10664-008-9103-7","Tier A - peer-reviewed journal","QL-04","Adjacent-literature search on transfer with target evidence; Crossref verification","metadata_and_abstract","Is foreign, cross-company defect data useful when local data are scarce, and can irrelevant foreign data be filtered before use?","One reuse decision over foreign training data","Analyst deciding whether and how to admit foreign data","Before reuse","not_applicable","not_applicable","NO","NO","NO","Training instances and fitted predictors","NO","PARTIAL","PARTIAL - source company recorded","NO","NO","NO","NO","NO","NO","YES","Across companies","NO","NO","YES - nearest-neighbour relevancy filtering selects foreign instances similar to the target context","YES - evaluated against the target project's own defect outcomes","PARTIAL","Controlled empirical comparison","NASA MDP and Turkish software company datasets","not_applicable","Within-company models and unfiltered cross-company models","Probability of detection, probability of false alarm, balance","Unfiltered cross-company data inflate false alarms; nearest-neighbour relevancy filtering of foreign data makes cross-company prediction competitive with within-company models when local data are scarce.","POSSIBLE_REFUTER","Establishes similarity-plus-applicability filtering of foreign experience before it is allowed to act, validated against target outcomes. Reinforces the G3-01 narrowing of GAP-3.","Filtering is feature-space similarity only; no authorisation, currency or authority; no per-judgment decision; no explicit quirk-versus-capability-gap classification.","Crossref (DOI, journal, volume, pages 540-578, 2009)"
"G3-03","B. Chen, J. Tackman, M. Setala, T. Poranen, Z. Zhang, 'Integrating Access Control with Retrieval-Augmented Generation: A Proof of Concept for Managing Sensitive Patient Profiles', Proc. 40th ACM/SIGAPP Symposium on Applied Computing (SAC 2025), pp. 915-919, 2025.","2025","ACM SAC 2025","https://doi.org/10.1145/3672608.3707848","Tier B - peer-reviewed conference short paper","QL-04","Adversarial search on policy-governed retrieval; web search then Crossref verification","metadata_and_abstract","Standard RAG retrieves by similarity alone and can surface content the requesting user is not entitled to see; access control must be enforced within the retrieval pipeline.","One retrieval request and the passages admitted to the prompt","Requesting user whose entitlements determine what may be retrieved","At query time, as the subject of the authorisation decision","not_applicable","not_applicable","NO","PARTIAL - subject entitlement to read an object, not authority to decide","NA - competence absent","not_applicable","NO","NO","PARTIAL - document-level metadata","NO","NO","NO","PARTIAL - permission changes take effect at retrieval","NO","NO","YES - stored content is reused in later answers","Within the governed corpus, filtered by the requester's permissions","YES - enforced at the retrieval stage, before augmentation","NO","NO","NO","NO","Proof of concept with demonstration","Synthetic sensitive patient profiles","not_applicable","Unfiltered RAG","Access-control correctness of retrieved content","Demonstrates that fine-grained access control can be integrated into the RAG retrieval stage so that generated answers rest only on documents the requesting user is permitted to use.","POSSIBLE_REFUTER","Narrows Section 2.4's statement that retrieval carries no test of whether the passage may be used. True of vanilla RAG [58], no longer true of the 2025 retrieval literature. GAP-3's residual is currency, applicability and benefit, not authorisation.","Authorisation is subject-object read permission, not authority for a prior judgment to act; no currency, applicability or benefit test; explicitly a proof of concept in a five-page paper.","Crossref (DOI, venue, pages 915-919, 2025)"
"G3-04","R. Weber, D. W. Aha, I. Becerra-Fernandez, 'Intelligent lessons learned systems', Expert Systems with Applications 20(1), pp. 17-34, 2001.","2001","Expert Systems with Applications","https://doi.org/10.1016/s0957-4174(00)00046-4","Tier A - peer-reviewed journal","QL-04","Adjacent-literature search on organisational and case memory; Crossref verification","metadata_and_abstract","Organisations record lessons from experience but those lessons rarely influence later decisions; what process and system design would change that?","One recorded lesson and its application in a later task","Lesson author, verifier, and later decision maker who may apply the lesson","At collection, verification, storage, dissemination and application","not_applicable","not_applicable","NO","PARTIAL - verification implies an approving role, but authority is not modelled","NO","Narrative lesson record with context, cause and recommended action","PARTIAL - the originating cause and reasoning are narrated","PARTIAL - applicability context is described in prose, not enforced","PARTIAL - originating project recorded","NO","NO","NO","NO","NO","NO","YES - reuse in later tasks is the entire purpose","Across projects within the organisation","NO","PARTIAL - lessons pass a verification step before storage","PARTIAL - relevance to the target task drives delivery","NO","NO","Survey of deployed systems plus a process model and design recommendations","Government, military and industrial lessons-learned systems","not_applicable","Passive lesson repositories","Qualitative assessment of system architecture and use","Surveys lessons-learned systems and their lifecycle, finding that recorded lessons do not influence later decisions unless delivery is embedded in the decision process rather than left to search.","POSSIBLE_REFUTER","Organisational memory and lessons-learned systems are a required SQ3 adjacent literature entirely absent from the anchor set. The enforcement-consequence argument the proposal makes for SQ2 and SQ3 is prefigured here. Residual difference: the claim-level unit and the independent target-evidence test.","Lessons are organisation-level narrative records rather than claim-level judgments; no authority binding, expiry, similarity or applicability calculus; no separation of local quirk from transferable limitation on independent evidence.","Crossref (DOI, journal, volume, pages 17-34, 2001)"
"G3-05","D. Leake, M. Whitehead, 'Case Provenance: The Value of Remembering Case Sources', Case-Based Reasoning Research and Development (ICCBR 2007), LNCS, pp. 194-208, 2007.","2007","ICCBR 2007, LNCS","https://doi.org/10.1007/978-3-540-74141-1_14","Tier A - peer-reviewed conference","QL-04","Adjacent-literature search on case-base maintenance and provenance; Crossref verification","metadata_and_abstract","Case-based reasoning systems normally forget where each stored case came from; recording case provenance can improve retrieval and maintenance.","One stored case and its use or retention","Original case author or adapter, implicitly","At case authoring and at maintenance review","not_applicable","not_applicable","NO","NO","NO","Case with provenance metadata recording its derivation and sources","PARTIAL - derivation history","NO","YES - the central contribution","NO","PARTIAL - derivation lineage between cases","NO","NO","PARTIAL - provenance informs which derived cases to retain","NO","YES","Within the case base","NO","PARTIAL - provenance informs confidence in a case","NO","NO","NO","Approach proposal with experimental illustration","CBR benchmark case bases","not_applicable","Provenance-blind retrieval and maintenance","Retrieval and maintenance quality","Shows that retaining case provenance improves both retrieval decisions and case-base maintenance relative to provenance-blind alternatives.","POSSIBLE_REFUTER","Sits between Aamodt and Plaza [53] and Smyth and Keane [54], and narrows the claim that CBR maintenance decides only whole-store competence. Must be cited.","Provenance informs store competence and confidence; it does not decide whether one stored judgment may act in one specific later context under someone's authority, and applies no authorisation, currency or target-evidence test.","Crossref (DOI, pages 194-208, 2007)"
"G3-06","P. Runeson, M. Alexandersson, O. Nyholm, 'Detection of Duplicate Defect Reports Using Natural Language Processing', Proc. 29th International Conference on Software Engineering (ICSE 2007), pp. 499-510, 2007.","2007","ICSE 2007","https://doi.org/10.1109/icse.2007.32","Tier A - peer-reviewed major conference","QL-04","Adjacent-literature search on failure-signature recurrence; Crossref verification","metadata_and_abstract","Large defect repositories accumulate duplicate reports of the same underlying issue; can duplicates be detected automatically from report text?","One incoming defect report, classified as new or a duplicate of a recorded issue","Triager who receives candidate duplicates","At triage, as consumer of the ranked candidate list","not_applicable","not_applicable","NO","NO","NO","Defect report text and duplicate links","NO","NO","PARTIAL - duplicate linkage recorded","NO","NO","NO","NO","PARTIAL - duplicates are subordinated to a master report","NO","YES - the prior report and its resolution are surfaced for the new occurrence","Within one defect repository","NO","NO","NO","NO","NO - establishes only that a recurrence is the same issue, not its cause class","Empirical evaluation on an industrial repository plus a practitioner study","Industrial mobile-platform defect reports","Industrial triage practitioners","Manual triage without duplicate suggestion","Recall of true duplicates within the top-N candidate list","Natural-language similarity detects a substantial share of duplicate defect reports, and a top-N candidate list is useful to triagers in practice.","PARTIAL_PREDECESSOR","Operationalises recurrence detection at industrial scale, so Study 3's contribution must be the diagnostic attribution of a recurrence rather than its detection.","Detection only; no attribution of the recurrence to a general pipeline limitation versus a local cause; no authorisation, currency or benefit test on reuse.","Crossref (DOI, venue, pages 499-510, 2007)"
"X-01","V. C. Hu et al., 'Guide to Attribute Based Access Control (ABAC) Definition and Considerations', NIST Special Publication 800-162, 2014, including updates as of 2 Aug. 2019.","2014","NIST Special Publication","https://doi.org/10.6028/NIST.SP.800-162","Tier A - authoritative standard or guidance","QL-04","Proposal reference [59]; re-verified via Crossref","metadata_and_verified_record","How to define and deploy access control decisions based on attributes of subject, object, action and environment rather than on identity or role alone.","One access request","Subject requesting access","At access-request time","not_applicable","Subject, object, action and environment attributes evaluated against policy","NO - relevance and competence are explicitly outside the policy decision","YES - entitlement to perform an action on an object","YES - by construction, authorisation is independent of fitness or relevance","not_applicable","NO","YES - policies scope permitted actions","NO","NO","NO","PARTIAL - environment attributes can encode time-bounded permissions","YES - attribute or policy change revokes access","NO","NO","not_applicable","not_applicable","YES - the entire subject matter","NO","PARTIAL - environment attributes","NO","NO","Standards guidance; no empirical evaluation","not_applicable","not_applicable","Role-based and discretionary access control","not_applicable","Defines ABAC and its deployment considerations: access decisions computed from subject, object, action and environment attributes against declared rules.","SUPPORTING_BACKGROUND","Supports the proposal's argument that authorisation is decided by policy without reference to relevance. Correctly used in Section 2.4; no change required.","Guidance rather than an evaluated mechanism; no notion of judgment currency or applicability.","Crossref (DOI, report type, 2014)"
"X-02","R. S. Sandhu, E. J. Coyne, H. L. Feinstein, C. E. Youman, 'Role-based access control models', Computer 29(2), pp. 38-47, 1996.","1996","IEEE Computer","https://doi.org/10.1109/2.485845","Tier A - peer-reviewed journal or magazine","QL-04 (pre-2015, snowballing exception)","Adjacent-literature search on organisational authority; Crossref verification","metadata_and_abstract","How to express organisational authority structures as access-control policy through roles, hierarchies and constraints.","One permission assignment","Role holder","At authorisation time","not_applicable","Role membership and role hierarchy","NO","YES - roles as organisational authority","YES - competence is not part of the model","not_applicable","NO","YES","NO","NO","NO","NO","YES","NO","NO","not_applicable","not_applicable","YES","NO","NO","NO","NO","Reference model family definition","not_applicable","not_applicable","Discretionary and mandatory access control","not_applicable","A family of role-based access control models with role hierarchies and separation-of-duty constraints.","SUPPORTING_BACKGROUND","Establishes the foundational vocabulary for organisational authority that GAP-1 must position against. Reinforces the finding that authority modelling is mature prior art.","No competence, no per-claim assessment, no evaluation as a routing policy.","Crossref (DOI, journal, volume, pages 38-47, 1996)"
"X-03","J. Fugener, J. Grahl, A. Gupta, W. Ketter, 'Cognitive Challenges in Human-Artificial Intelligence Collaboration: Investigating the Path Toward Productive Delegation', Information Systems Research 33(2), pp. 678-696, 2022.","2022","Information Systems Research","https://doi.org/10.1287/isre.2021.1079","Tier A - peer-reviewed journal","QL-01","Adjacent-literature search on human-AI delegation; Crossref verification","metadata_and_abstract","When a human and an AI must divide a task, who should delegate to whom, and can humans judge their own relative competence well enough to decide?","One task instance and its delegation","Delegator and performer","At the delegation decision and at task performance","Either the human or the AI","Self-assessed and actual relative performance","YES - relative competence of human and AI, empirically measured","PARTIAL - who holds the delegation right is the experimental manipulation, not a modelled construct","PARTIAL - the study separates who decides from who is better, exactly the distinction GAP-1 rests on","not_applicable","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","not_applicable","NO","NO","NO","NO","NO","Controlled behavioural experiments","Image classification task instances","Human experimental participants, crowd-recruited","Human-only, AI-only, and AI-delegates-to-human conditions","Joint task accuracy by delegation direction","Humans delegate poorly because they misjudge their own competence relative to the AI; letting the AI hold the delegation decision produced better joint performance than letting the human hold it.","SUPPORTING_BACKGROUND","Empirically supports designing routing as a system decision rather than reviewer self-selection, and evidences the presence-is-not-expertise distinction the proposal draws in Section 2.3.","Two-party delegation between one human and one model; no selection among differentiated reviewers; no authority construct; prediction task rather than contested claim.","Crossref (DOI, journal, volume, pages 678-696, 2022)"
"X-04","B. Kitchenham, S. Charters, 'Guidelines for Performing Systematic Literature Reviews in Software Engineering', Keele University and University of Durham, EBSE Technical Report EBSE-2007-01, version 2.3, 2007.","2007","EBSE Technical Report (Keele University and University of Durham)","no DOI assigned - technical report","Tier B - widely adopted technical report, not peer reviewed as an article","method","Proposal reference [62]","metadata_only_NOT_re_verified_in_this_audit","How to plan, conduct and report a systematic literature review in software engineering.","One review protocol and its execution","Reviewer and second reviewer","Throughout protocol design, screening, extraction and synthesis","not_applicable","not_applicable","NO","NO","NO","not_applicable","not_applicable","not_applicable","not_applicable","PARTIAL - inter-rater disagreement and its resolution are prescribed","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","Methodological guidance","not_applicable","not_applicable","not_applicable","not_applicable","The reference procedure for systematic literature reviews in software engineering: protocol, search, screening, quality assessment, extraction, synthesis and reporting.","SUPPORTING_BACKGROUND","Governs the protocol audit itself. The proposal's protocol conforms in structure; this audit's recommendations on dual screening, agreement statistics and a frozen amendment log are drawn from it.","Guidance rather than evidence; recommends dual independent screening, which the project currently cannot staff.","NOT RE-VERIFIED IN THIS AUDIT - no DOI; identity taken from the proposal's own reference list"
"X-05","H. P. Zou et al., 'LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey', Findings of the Association for Computational Linguistics: ACL 2026, pp. 36335-36364, 2026.","2026","Findings of ACL 2026","https://doi.org/10.18653/v1/2026.findings-acl.1811","Tier A - peer-reviewed major conference (Findings track)","QL-01","Proposal reference [20]; re-verified via Crossref","metadata_and_verified_record","Systematising the design space of LLM-based human-agent collaboration and interaction systems.","Design choices in a human-agent system","Feedback provider, collaborator and supervisor across the surveyed corpus","Classified by the survey's Feedback Phase dimension; the reported value is post-task","Classified by role, not by assessed competence","Not an axis of the taxonomy","NO - no taxonomy dimension expresses assessed competence","NO","NO","Communication Mode describes a persistent shared artefact within an episode","NO","NO","NO","NO","NO","NO","NO","NO","NO","PARTIAL - within-episode shared artefacts only","Within one episode","NO","NO","NO","NO","NO","Survey with a four-branch taxonomy and companion repository","Ninety unique papers in the companion repository, as screened by the candidate on 25 August 2026","not_applicable","not_applicable","not_applicable","A four-branch taxonomy over LLM-based human-agent systems: human feedback, interaction, orchestration and communication.","SUPPORTING_BACKGROUND","Supplies the coverage-observation basis for Section 2.3.1 and Appendix A. The audit confirms the corpus cannot reach multi-expert deferral or BPM allocation, so its silence is uninformative about GAP-1, which the proposal already states in Appendix A.4.","A curated repository, not a protocol-derived corpus; the candidate's screening of it was single-rater, with the 63 less-relevant dispositions still title-level.","Crossref (DOI, venue, pages 36335-36364, 2026)"
"X-06","M. J. Page et al., 'The PRISMA 2020 Statement: An Updated Guideline for Reporting Systematic Reviews', BMJ 372, art. n71, 2021.","2021","BMJ","https://doi.org/10.1136/bmj.n71","Tier A - peer-reviewed journal (reporting standard)","method","Proposal reference [64]; re-verified via Crossref","metadata_and_verified_record","How systematic reviews should be reported so that readers can appraise their conduct and reproduce their selection.","One review report","Review author and reader","At reporting","not_applicable","not_applicable","NO","NO","NO","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","not_applicable","Reporting guideline developed by consensus","not_applicable","not_applicable","PRISMA 2009","not_applicable","A 27-item reporting checklist and flow diagram for systematic reviews.","SUPPORTING_BACKGROUND","Fixes the reporting obligation for the executed review. The audit recommends the PRISMA flow diagram be pre-committed with per-family counts before execution.","A reporting standard, not a conduct standard; conformant reporting does not make a review complete.","Crossref (DOI, journal, article n71, 2021)"
