Work_ID,Title,Primary_URL,Evidence_Basis,Identity_Status,Machine_Preliminary_Relevance,SQ_Map,Chapter2_Map,Machine_Screen_Status,Human_Review_Status,Inclusion_Decision,Exclusion_Reason,Full_Text_Status,Authors_Conclusions,Researcher_Synthesis,Reviewer,Review_Date
ACL26-W-C0F40871570A,Autonomous Evaluation and Refinement of Digital Agents,https://arxiv.org/abs/2404.06474,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-6C04C7D06702,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,https://arxiv.org/abs/2409.17140,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-AB131396114B,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,https://openreview.net/forum?id=roNSXZpUDN,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-906C5B07BE8D,Building Cooperative Embodied Agents Modularly with Large Language Models,https://arxiv.org/abs/2307.02485,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-B58A3C4DF2F2,Can Large Language Model Agents Simulate Human Trust Behavior?,https://arxiv.org/abs/2402.04559,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-E4BE92A91819,CentaurEval: Benchmarking Human-in-the-Loop Value in Agentic Coding,https://arxiv.org/abs/2512.04111,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ1; SQ3,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3474AE13BD1A,CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,https://arxiv.org/abs/2606.05793,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ1; SQ3,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-4D0DB4800AF8,CollabLLM: From Passive Responders to Active Collaborators,https://openreview.net/forum?id=DmH4HHVb3y,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-9467D8B4B48F,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,https://arxiv.org/abs/2412.15701,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-28C8BBD8854D,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,https://arxiv.org/abs/2505.18279v1,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ2,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-4B3108A0E53F,CollabSkill: Evaluating Human-Agent Collaboration On Real-World Tasks,https://arxiv.org/abs/2606.09833,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3BFB45451A36,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,https://arxiv.org/abs/2502.19852,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ2; SQ3,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse; 2.6 Evaluation and transfer",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-423C8B00B679,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,https://arxiv.org/abs/2501.16609,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-35C5DACF7EE6,DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1704ddd0bb89f159dfe609b32c889995-Abstract-Conference.html,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-70C548CF025A,Drive as You Speak: Enabling Human-Like Interaction with Large Language Models in Autonomous Vehicles,https://arxiv.org/abs/2309.10228,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-EBC77D62BDE3,ECHO: Explainable Co-editing with Human-in-the-loop Operations for Presentation Refinement,https://arxiv.org/abs/2606.09851,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ1; SQ2,"2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-C0AD100295F8,Effect of Adaptive Communication Support on LLM-powered Human-Robot Collaboration,https://arxiv.org/abs/2412.06808,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-724F6C683E77,Embodied LLM Agents Learn to Cooperate in Organized Teams,https://arxiv.org/abs/2403.12482,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-0437B1C929E7,Embodied Task Planning with Large Language Models,https://arxiv.org/abs/2307.01848,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5BB72E12140C,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,https://arxiv.org/abs/2504.09689,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-28AB5703E4A4,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,https://www.arxiv.org/abs/2507.17131,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-AA99FEC3C3CF,Enhancing Human-Robot Collaborative Assembly in Manufacturing Systems Using Large Language Models,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711843,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-91837228F5C3,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration,https://ieeexplore.ieee.org/document/10561501,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-D41B8F50CF09,Experimental Exploration: Investigating Cooperative Interaction Behavior Between Humans and Large Language Model Agents,https://arxiv.org/abs/2503.07320,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-8EDE1E377D5D,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,https://arxiv.org/abs/2503.02692,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5EBE25240591,From Correctness to Collaboration: Toward a Human-Centered Framework for Evaluating AI Agent Behavior in Software Engineering,https://arxiv.org/abs/2512.23844,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-B69583C9CACE,Future of Work with AI Agents: Auditing Automation and Augmentation Potential across the U.S. Workforce,https://arxiv.org/abs/2506.06576,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-70E3FF79FA10,GenoMAS: A Multi-Agent Framework for Scientific Discovery via Code-Driven Gene Expression Analysis,https://arxiv.org/abs/2507.21035,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3B894E22ADAF,Getting Better at Working With You: Compiling User Corrections into Runtime Enforcement for Coding Agents (TRACE),https://arxiv.org/abs/2606.13174,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ2,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-6B3ADFD39E05,HAS-Bench: Evaluating LLM-Based Human-Agent Systems under Configurable Human Participation,https://arxiv.org/abs/2607.04329,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-F29E6413F26C,How can we assess human-agent interactions? Case studies in software agent design,https://arxiv.org/abs/2510.09801v2,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-363C9C5D6B87,Human-LLM collaboration in generative design for customization,https://www.sciencedirect.com/science/article/pii/S0278612525000731,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-3086638BE92A,"Human Oversight of Agentic Systems in Practice: Examining the Oversight Work, Challenges, and Heuristics of Developers Using Software Agents",https://arxiv.org/abs/2606.05391,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-BF65B171074F,Improved Trust in Human-Robot Collaboration With ChatGPT,https://ieeexplore.ieee.org/abstract/document/10141597,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-F792DD4BA5E2,Improving Grounded Language Understanding in a Collaborative Environment by Interacting with Agents Through Help Feedback,https://arxiv.org/abs/2304.10750,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ2,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-7CBA3E6AFA56,InfoPO: Information-Driven Policy Optimization for User-Centric Agents,https://arxiv.org/abs/2603.00656,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5A27EB5BD15D,Interaction as Intelligence: Deep Research With Human-AI Partnership,https://arxiv.org/abs/2507.15759,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-6A094D00A991,"Interaction, Process, Infrastructure: A Unified Architecture for Human-Agent Collaboration",https://arxiv.org/abs/2506.11718,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-A9B909880158,InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,https://arxiv.org/abs/2306.14898,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Core candidate,Provisional machine suggestion: SQ2; SQ3,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse; 2.6 Evaluation and transfer",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-AA6CB8E44012,Into the Unknown Unknowns: Engaged Human Learning through Participation in Language Model Agent Conversations,https://aclanthology.org/2024.emnlp-main.554/,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-2303C771A632,Investigating Agency of LLMs in Human-AI Collaboration Tasks,https://aclanthology.org/2024.eacl-long.119/,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5BA841BD1C2A,Just A Rather Very Intelligent Spoken Agent (JarvisBench),https://arxiv.org/abs/2607.16610,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-68AC8BC6AAE2,Label Effects: Shared Heuristic Reliance in Trust Assessment by Humans and LLM-as-a-Judge,https://arxiv.org/abs/2604.05593,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Peripheral candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5D54A174DFF3,Large Language Model-based Human-Agent Collaboration for Complex Task Solving,https://arxiv.org/abs/2402.12914,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-663CA9009136,Learning Personalized Agents from Human Feedback,https://arxiv.org/abs/2602.16173,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ2,"2.3 Human-agent collaboration design space; 2.5 Feedback, judgment, governance, and reuse",Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-298AE29DE73E,Learning to Clarify: Multi-turn Conversations with Action-Based Contrastive Self-Training,https://arxiv.org/abs/2406.00222,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ1,2.3 Human-agent collaboration design space; 2.4 Selective intervention and bounded oversight,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-B62CCF74D983,Learning User Simulators with Turing Rewards,https://arxiv.org/abs/2606.19336,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-5EC9FA89DEB5,Leveraging Dual Process Theory in Language Agent Framework for Real-time Simultaneous Human-AI Collaboration,https://arxiv.org/abs/2502.11882,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-CE8841F63DE7,"LiveClawBench: Benchmarking LLM Agents on Complex, Real-World Assistant Tasks",https://arxiv.org/abs/2604.13072,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Relevant candidate,Provisional machine suggestion: SQ3,2.3 Human-agent collaboration design space; 2.6 Evaluation and transfer,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
ACL26-W-0683577E1E9C,LLM Agents for Deliberative Collaboration: A Study on Joint Decision Making Under Partial Observability,https://arxiv.org/abs/2607.06157,Pinned repository title and taxonomy metadata only,Identifier present; independent metadata verification pending,Contextual candidate,Provisional machine suggestion: Unmapped; canonical RQ wording unresolved,2.3 Human-agent collaboration design space,Complete,Pending,Pending human title/abstract review,,Pending,Pending full-text review,Pending human review,,
