Work_ID,Title,Year_As_Listed,Venue_Label_As_Listed,Primary_URL,Strong_Identifiers,Source_Commit,Source_Sections,Application_Categories,Taxonomy_Branches,Source_Line_Refs,Occurrence_Count,Taxonomy_Value_Conflict,Feedback_Type,Feedback_Subtype,Feedback_Granularity,Feedback_Phase,Interaction_Types,Interaction_Variant,Orchestration_Strategy,Orchestration_Synchronization,Communication_Structure,Communication_Mode
ACL26-W-50722DD72D20,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,2025,arXiv 2025,https://arxiv.org/abs/2504.03601,arxiv:2504.03601,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L186,1,No,,,,,,,,,,
ACL26-W-59A397CFEBE2,Ask-before-Plan: Proactive Language Agents for Real-World Planning,2024,EMNLP 2024,https://aclanthology.org/2024.findings-emnlp.636/,acl:2024.findings-emnlp.636; arxiv:2406.12639,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L235; README:L549; README:L652; README:L753; README:L855,5,No,Guidance,"Demonstration, Critique",Segment,During Task,Collaboration,Coordination,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-D9ACE8823B34,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,2026,arXiv 2026,https://arxiv.org/abs/2603.26233,arxiv:2603.26233,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L110; README:L308; README:L495; README:L597; README:L698; README:L800,6,No,Guidance,"Demonstration, Critique",Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-3CA54311D04A,AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,2024,arXiv 2024,https://arxiv.org/abs/2409.17655,arxiv:2409.17655,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L221; README:L532; README:L634; README:L735; README:L837,5,No,Implicit,Human Control,Holistic,Initial Setup,Collaboration,Delegation,One-by-One,Asynchronous,Decentralized,Message Pool
ACL26-W-C0F40871570A,Autonomous Evaluation and Refinement of Digital Agents,2024,,https://arxiv.org/abs/2404.06474,arxiv:2404.06474,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L541; README:L646; README:L747; README:L849,4,No,Evaluative,Binary Assessment,Holistic,Post Task,Collaboration,Delegation,One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-6C04C7D06702,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,2024,arXiv 2024,https://arxiv.org/abs/2409.17140,arxiv:2409.17140,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L223,1,No,,,,,,,,,,
ACL26-W-AB131396114B,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,2024,ICLR 2025,https://openreview.net/forum?id=roNSXZpUDN,openreview:ronsxzpudn,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers","Retail, Telecom; Travel",,README:L233; README:L427; README:L438,3,No,,,,,,,,,,
ACL26-W-906C5B07BE8D,Building Cooperative Embodied Agents Modularly with Large Language Models,2023,ICLR 2024,https://arxiv.org/abs/2307.02485,arxiv:2307.02485,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Embodied AI, Robotics",Communication; Human Feedback; Interaction; Orchestration,README:L271; README:L332; README:L559; README:L660; README:L761; README:L863,6,No,Evaluative,Scalar Rating,Holistic,Post Task,Collaboration,Cooperation,Simultaneous,Synchronous,Decentralized,Conversation
ACL26-W-B58A3C4DF2F2,Can Large Language Model Agents Simulate Human Trust Behavior?,2024,NeurIPS 2024,https://arxiv.org/abs/2402.04559,arxiv:2402.04559,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L255,1,No,,,,,,,,,,
ACL26-W-E4BE92A91819,CentaurEval: Benchmarking Human-in-the-Loop Value in Agentic Coding,2025,arXiv 2025,https://arxiv.org/abs/2512.04111,arxiv:2512.04111,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L131; README:L507; README:L609; README:L710; README:L812,5,No,"Guidance, Corrective","Refinements, Critique","Segment, Holistic",During Task,Collaboration,"Delegation, Cooperation",Simultaneous,Synchronous,Centralized,"Conversation, Observation"
ACL26-W-3474AE13BD1A,CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,2026,ICML 2026,https://arxiv.org/abs/2606.05793,arxiv:2606.05793,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Gaming,Communication; Human Feedback; Interaction; Orchestration,README:L379; README:L483; README:L585; README:L686; README:L788; README:L80,6,No,"Implicit, Guidance","User Action, Critique",Segment,During Task,Collaboration,"Cooperation, Coordination",Simultaneous,Synchronous,Decentralized,"Conversation, Observation"
ACL26-W-4D0DB4800AF8,CollabLLM: From Passive Responders to Active Collaborators,2025,ICML 2025,https://openreview.net/forum?id=DmH4HHVb3y,openreview:dmh4hhvb3y,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L202,1,No,,,,,,,,,,
ACL26-W-9467D8B4B48F,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,2024,arXiv 2024,https://arxiv.org/abs/2412.15701,arxiv:2412.15701,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L208; README:L528; README:L630; README:L731; README:L834,5,No,Corrective,Refinement,Segment,During Task,Collaboration,"Supervision, Delegation",One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-28C8BBD8854D,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,2025,arXiv 2025,https://arxiv.org/abs/2505.18279v1,arxiv:2505.18279,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L172,1,No,,,,,,,,,,
ACL26-W-4B3108A0E53F,CollabSkill: Evaluating Human-Agent Collaboration On Real-World Tasks,2026,arXiv 2026,https://arxiv.org/abs/2606.09833,arxiv:2606.09833,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L102; README:L306; README:L493; README:L595; README:L696; README:L798,6,No,"Guidance, Evaluative, Implicit","Demonstration, Scalar Rating, User Action","Holistic, Segment","During Task, Post Task",Collaboration,"Cooperation, Delegation",One-by-One,Synchronous,Centralized,Conversation
ACL26-W-3BFB45451A36,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,2025,ICLR 2025,https://arxiv.org/abs/2502.19852,arxiv:2502.19852,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L198; README:L316; README:L526; README:L627; README:L728; README:L830,6,No,Guidance,"Demonstration, Critique",Segment,During Task,Collaboration,"Supervision, Delegation",One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-423C8B00B679,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,2025,NAACL 2025 Demo,https://arxiv.org/abs/2501.16609,arxiv:2501.16609,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L204; README:L527; README:L629; README:L730; README:L832,5,No,"Corrective, Implicit","User Action, Refinement",Segment,During Task,Collaboration,"Supervision, Delegation, Coordination",One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-35C5DACF7EE6,DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,2024,NeurIPS 2024,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1704ddd0bb89f159dfe609b32c889995-Abstract-Conference.html,arxiv:2406.11896; title:digirl training in the wild device control agents with autonomous reinforcement learning,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L237; README:L539; README:L638; README:L739; README:L841,5,No,Evaluative,Binary Assessment,Holistic,"During Task, Post Task",Collaboration,Delegation,One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-70C548CF025A,Drive as You Speak: Enabling Human-Like Interaction with Large Language Models in Autonomous Vehicles,2023,WACV 2024,https://arxiv.org/abs/2309.10228,arxiv:2309.10228,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L263; README:L554; README:L655; README:L756; README:L858,5,No,Guidance,Demonstration,Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-EBC77D62BDE3,ECHO: Explainable Co-editing with Human-in-the-loop Operations for Presentation Refinement,2026,arXiv 2026,https://arxiv.org/abs/2606.09851,arxiv:2606.09851,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Writing,Communication; Human Feedback; Interaction; Orchestration,README:L443; README:L489; README:L591; README:L692; README:L794; README:L94,6,No,"Corrective, Guidance","Refinement, Demonstration",Segment,During Task,Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Hierarchical,"Conversation, Observation"
ACL26-W-C0AD100295F8,Effect of Adaptive Communication Support on LLM-powered Human-Robot Collaboration,2024,arXiv 2024,https://arxiv.org/abs/2412.06808,arxiv:2412.06808,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L213,1,No,,,,,,,,,,
ACL26-W-724F6C683E77,Embodied LLM Agents Learn to Cooperate in Organized Teams,2024,arXiv 2024,https://arxiv.org/abs/2403.12482,arxiv:2403.12482,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L251; README:L546; README:L648; README:L749; README:L851,5,No,Guidance,Critique,Holistic,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-0437B1C929E7,Embodied Task Planning with Large Language Models,2023,ICML 2023,https://arxiv.org/abs/2307.01848,arxiv:2307.01848,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Embodied AI, Robotics",Communication; Human Feedback; Interaction; Orchestration,README:L273; README:L334; README:L558; README:L661; README:L762; README:L864,6,No,"Guidance, Evaluative","Demonstration, Binary Assessment","Holistic, Segment","Initial Setup, Post Task",Collaboration,Delegation,One-by-One,Asynchronous,Decentralized,Conversation
ACL26-W-5BB72E12140C,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,2025,arXiv 2025,https://arxiv.org/abs/2504.09689,arxiv:2504.09689,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers","Healthcare, Medicine",,README:L182; README:L398,2,No,,,,,,,,,,
ACL26-W-28AB5703E4A4,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,2025,arXiv 2025,https://www.arxiv.org/abs/2507.17131,arxiv:2507.17131,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L156; README:L516; README:L618; README:L719; README:L821,5,No,"Corrective, Guidance","Refinement, Critique",Segment,During Task,Collaboration,Supervision,One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-AA99FEC3C3CF,Enhancing Human-Robot Collaborative Assembly in Manufacturing Systems Using Large Language Models,2024,CASE 2024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711843,arxiv:2406.01915; title:enhancing human robot collaborative assembly in manufacturing systems using large language models,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L239; README:L537; README:L639; README:L740; README:L842,5,No,"Corrective, Guidance","Demonstration, Refinement, Critique",Segment,"Initial Setup, During Task",Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-91837228F5C3,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration,2024,RAL 2024,https://ieeexplore.ieee.org/document/10561501,title:enhancing the llm based robot manipulation through human robot collaboration,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L231; README:L538; README:L640; README:L741; README:L843,5,No,Corrective,Refinement,Holistic,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-D41B8F50CF09,Experimental Exploration: Investigating Cooperative Interaction Behavior Between Humans and Large Language Model Agents,2025,arXiv 2025,https://arxiv.org/abs/2503.07320,arxiv:2503.07320,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L192; README:L522; README:L624; README:L725; README:L827,5,No,Implicit,User Action,Segment,During Task,Coopetition,,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-8EDE1E377D5D,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,2025,arXiv 2025,https://arxiv.org/abs/2503.02692,arxiv:2503.02692,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Finance,Communication; Human Feedback; Interaction; Orchestration,README:L194; README:L389; README:L524; README:L625; README:L726; README:L828,6,No,Guidance,Demonstration,Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-5EBE25240591,From Correctness to Collaboration: Toward a Human-Centered Framework for Evaluating AI Agent Behavior in Software Engineering,2025,,https://arxiv.org/abs/2512.23844,arxiv:2512.23844,7b3ba9deefe99172748582f6025d995ccc2a6f86,Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L506; README:L608; README:L709; README:L811,4,No,"Guidance, Evaluative","Critique, Preference Ranking",Segment,"Initial Setup, During Task",Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-B69583C9CACE,Future of Work with AI Agents: Auditing Automation and Augmentation Potential across the U.S. Workforce,2025,arXiv 2025,https://arxiv.org/abs/2506.06576,arxiv:2506.06576,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L168,1,No,,,,,,,,,,
ACL26-W-70E3FF79FA10,GenoMAS: A Multi-Agent Framework for Scientific Discovery via Code-Driven Gene Expression Analysis,2025,arXiv 2025,https://arxiv.org/abs/2507.21035,arxiv:2507.21035,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers","Healthcare, Medicine",,README:L154; README:L396,2,No,,,,,,,,,,
ACL26-W-3B894E22ADAF,Getting Better at Working With You: Compiling User Corrections into Runtime Enforcement for Coding Agents (TRACE),2026,arXiv 2026,https://arxiv.org/abs/2606.13174,arxiv:2606.13174,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L300; README:L481; README:L583; README:L684; README:L74; README:L786,6,No,"Corrective, Guidance","Refinement, Critique",Segment,"During Task, Post Task",Collaboration,"Supervision, Cooperation",One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-6B3ADFD39E05,HAS-Bench: Evaluating LLM-Based Human-Agent Systems under Configurable Human Participation,2026,arXiv 2026,https://arxiv.org/abs/2607.04329,arxiv:2607.04329,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","General-Purpose Assistants, Cross-Domain",Communication; Human Feedback; Interaction; Orchestration,README:L405; README:L478; README:L580; README:L68; README:L680; README:L783,6,No,"Guidance, Evaluative, Corrective, Implicit","Critique, Refinement, Binary Assessment, Human Control","Holistic, Segment","Initial Setup, During Task, Post Task",Collaboration,"Supervision, Delegation, Coordination",One-by-One,Synchronous,"Hierarchical, Centralized","Conversation, Observation"
ACL26-W-F29E6413F26C,How can we assess human-agent interactions? Case studies in software agent design,2025,arXiv 2025,https://arxiv.org/abs/2510.09801v2,arxiv:2510.09801,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L137; README:L510; README:L612; README:L713; README:L815,5,No,Evaluative,Scalar Rating,Segment,During Task,Collaboration,"Delegation, Supervision",One-by-One,Synchronous,Hierarchical,Conversation
ACL26-W-363C9C5D6B87,Human-LLM collaboration in generative design for customization,2024,SME 2024,https://www.sciencedirect.com/science/article/pii/S0278612525000731,title:human llm collaboration in generative design for customization,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L229; README:L535; README:L637; README:L738; README:L840,5,No,"Guidance, Evaluative","Demonstration, Binary Assessment, Preference Ranking","Holistic, Segment","Initial Setup, Post Task",Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-3086638BE92A,"Human Oversight of Agentic Systems in Practice: Examining the Oversight Work, Challenges, and Heuristics of Developers Using Software Agents",2026,arXiv 2026,https://arxiv.org/abs/2606.05391,arxiv:2606.05391,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Software Engineering, Coding",Communication; Human Feedback; Interaction; Orchestration,README:L302; README:L484; README:L586; README:L687; README:L789; README:L82,6,No,"Evaluative, Corrective, Guidance","Binary Assessment, Refinement, Critique","Holistic, Segment","Initial Setup, During Task, Post Task",Collaboration,"Supervision, Delegation",One-by-One,Asynchronous,Hierarchical,"Observation, Conversation"
ACL26-W-BF65B171074F,Improved Trust in Human-Robot Collaboration With ChatGPT,2023,IEEE 2023,https://ieeexplore.ieee.org/abstract/document/10141597,title:improved trust in human robot collaboration with chatgpt,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers; Taxonomy,,Communication; Human Feedback; Interaction; Orchestration,README:L275; README:L560; README:L662; README:L763; README:L865,5,No,Guidance,"Demonstration, Critique",Segment,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-F792DD4BA5E2,Improving Grounded Language Understanding in a Collaborative Environment by Interacting with Agents Through Help Feedback,2023,EACL 2024,https://arxiv.org/abs/2304.10750,arxiv:2304.10750,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy","Embodied AI, Robotics",Communication; Human Feedback; Interaction; Orchestration,README:L279; README:L336; README:L562; README:L664; README:L765; README:L867,6,No,"Corrective, Guidance","Demonstration, Refinement",Holistic,During Task,Collaboration,Delegation,One-by-One,Synchronous,Decentralized,Conversation
ACL26-W-7CBA3E6AFA56,InfoPO: Information-Driven Policy Optimization for User-Centric Agents,2026,arXiv 2026,https://arxiv.org/abs/2603.00656,arxiv:2603.00656,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks; Latest Research Papers; Taxonomy",Conversation System,Communication; Human Feedback; Interaction; Orchestration,README:L118; README:L351; README:L500; README:L602; README:L703; README:L805,6,No,"Guidance, Implicit","Demonstration, User Action",Segment,During Task,Collaboration,Cooperation,One-by-One,Synchronous,Centralized,Conversation
ACL26-W-5A27EB5BD15D,Interaction as Intelligence: Deep Research With Human-AI Partnership,2025,arXiv 2025,https://arxiv.org/abs/2507.15759,arxiv:2507.15759,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L158,1,No,,,,,,,,,,
ACL26-W-6A094D00A991,"Interaction, Process, Infrastructure: A Unified Architecture for Human-Agent Collaboration",2025,arXiv 2025,https://arxiv.org/abs/2506.11718,arxiv:2506.11718,7b3ba9deefe99172748582f6025d995ccc2a6f86,Latest Research Papers,,,README:L160,1,No,,,,,,,,,,
ACL26-W-A9B909880158,InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,2023,NeurIPS 2023,https://arxiv.org/abs/2306.14898,arxiv:2306.14898,7b3ba9deefe99172748582f6025d995ccc2a6f86,"Applications, Datasets & Benchmarks","Software Engineering, Coding",,README:L320,1,No,,,,,,,,,,
