Paper_ID,Title,Identity_Verified,Deduplicated,Title_Abstract_Decision,Full_Text_Decision,Exclusion_Reason,Reviewer,Review_Date,Evidence_or_Link,Notes
ACL26-W-0437B1C929E7,Embodied Task Planning with Large Language Models,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2307.01848,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5BB72E12140C,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2504.09689,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-28AB5703E4A4,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,Pending,Yes,Pending,Pending,,,,https://www.arxiv.org/abs/2507.17131,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-AA99FEC3C3CF,Enhancing Human-Robot Collaborative Assembly in Manufacturing Systems Using Large Language Models,Pending,Yes,Pending,Pending,,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711843,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-91837228F5C3,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration,Pending,Yes,Pending,Pending,,,,https://ieeexplore.ieee.org/document/10561501,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-D41B8F50CF09,Experimental Exploration: Investigating Cooperative Interaction Behavior Between Humans and Large Language Model Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2503.07320,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-8EDE1E377D5D,FinArena: A Human-Agent Collaboration Framework for Financial Market Analysis and Forecasting,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2503.02692,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5EBE25240591,From Correctness to Collaboration: Toward a Human-Centered Framework for Evaluating AI Agent Behavior in Software Engineering,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2512.23844,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B69583C9CACE,Future of Work with AI Agents: Auditing Automation and Augmentation Potential across the U.S. Workforce,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2506.06576,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-70E3FF79FA10,GenoMAS: A Multi-Agent Framework for Scientific Discovery via Code-Driven Gene Expression Analysis,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2507.21035,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3B894E22ADAF,Getting Better at Working With You: Compiling User Corrections into Runtime Enforcement for Coding Agents (TRACE),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.13174,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-6B3ADFD39E05,HAS-Bench: Evaluating LLM-Based Human-Agent Systems under Configurable Human Participation,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2607.04329,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F29E6413F26C,How can we assess human-agent interactions? Case studies in software agent design,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2510.09801v2,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-363C9C5D6B87,Human-LLM collaboration in generative design for customization,Pending,Yes,Pending,Pending,,,,https://www.sciencedirect.com/science/article/pii/S0278612525000731,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3086638BE92A,"Human Oversight of Agentic Systems in Practice: Examining the Oversight Work, Challenges, and Heuristics of Developers Using Software Agents",Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.05391,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-BF65B171074F,Improved Trust in Human-Robot Collaboration With ChatGPT,Pending,Yes,Pending,Pending,,,,https://ieeexplore.ieee.org/abstract/document/10141597,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F792DD4BA5E2,Improving Grounded Language Understanding in a Collaborative Environment by Interacting with Agents Through Help Feedback,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2304.10750,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-7CBA3E6AFA56,InfoPO: Information-Driven Policy Optimization for User-Centric Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2603.00656,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5A27EB5BD15D,Interaction as Intelligence: Deep Research With Human-AI Partnership,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2507.15759,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-6A094D00A991,"Interaction, Process, Infrastructure: A Unified Architecture for Human-Agent Collaboration",Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2506.11718,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-A9B909880158,InterCode: Standardizing and Benchmarking Interactive Coding with Execution Feedback,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2306.14898,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-AA6CB8E44012,Into the Unknown Unknowns: Engaged Human Learning through Participation in Language Model Agent Conversations,Pending,Yes,Pending,Pending,,,,https://aclanthology.org/2024.emnlp-main.554/,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-2303C771A632,Investigating Agency of LLMs in Human-AI Collaboration Tasks,Pending,Yes,Pending,Pending,,,,https://aclanthology.org/2024.eacl-long.119/,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5BA841BD1C2A,Just A Rather Very Intelligent Spoken Agent (JarvisBench),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2607.16610,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-68AC8BC6AAE2,Label Effects: Shared Heuristic Reliance in Trust Assessment by Humans and LLM-as-a-Judge,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2604.05593,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5D54A174DFF3,Large Language Model-based Human-Agent Collaboration for Complex Task Solving,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2402.12914,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-663CA9009136,Learning Personalized Agents from Human Feedback,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2602.16173,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-298AE29DE73E,Learning to Clarify: Multi-turn Conversations with Action-Based Contrastive Self-Training,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2406.00222,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B62CCF74D983,Learning User Simulators with Turing Rewards,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.19336,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-5EC9FA89DEB5,Leveraging Dual Process Theory in Language Agent Framework for Real-time Simultaneous Human-AI Collaboration,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2502.11882,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-CE8841F63DE7,"LiveClawBench: Benchmarking LLM Agents on Complex, Real-World Assistant Tasks",Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2604.13072,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-0683577E1E9C,LLM Agents for Deliberative Collaboration: A Study on Joint Decision Making Under Partial Observability,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2607.06157,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-648348500982,LLM-Based Human-Agent Collaboration and Interaction Systems: A Survey,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2505.00753,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-408C0D3B0684,LLM-Based Human-Robot Collaboration Framework for Manipulation Tasks,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2308.14972,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B2267778FEC6,LLM-Powered Hierarchical Language Agent for Real-time Human-AI Coordination,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2312.15224,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-DA93B8446B62,M3HF: Multi-agent Reinforcement Learning from Multi-phase Human Feedback of Mixed Quality,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=2Sl6Ex7Vmo,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-721A73E61171,Magentic-UI: Towards Human-in-the-loop Agentic Systems,Pending,Yes,Pending,Pending,,,,https://www.arxiv.org/abs/2507.22358,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-878216C807F2,MemoCue: Empowering LLM-Based Agents for Human Memory Recall via Strategy-Guided Querying,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2507.23633,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-411FA4F27687,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=VtmBAGCN7o,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-8B4D5F621271,MindAgent: Emergent Gaming Interaction,Pending,Yes,Pending,Pending,,,,https://aclanthology.org/2024.findings-naacl.200/,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-DB6A36EBE966,MineWorld: a Real-Time and Open-Source Interactive World Model on Minecraft,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2504.08388,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-BE797B75B0BD,MINT: Evaluating LLMs in Multi-turn Interaction with Tools and Language Feedback,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2309.10691,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F60977424D7F,Modeling Distinct Human Interaction in Web Agents (CowCorpus),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2602.17588,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-131C63C14258,MUA-RL: Multi-turn User-interacting Agent Reinforcement Learning for agentic tool use,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2508.18669,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-D871D8C34730,Mutual Theory of Mind in Human-AI Collaboration: An Empirical Study with LLM-driven AI Agents in a Real-time Shared Workspace Task,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2409.08811,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-DF07DBD078A5,Not All Uncertainty Is Equal: How Uncertainty Granularity Shapes Human Verification in LLM-Assisted Decision Making,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.28571,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B5A204F4467D,Overseeing Agents Without Constant Oversight: Challenges and Opportunities,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2602.16844,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-142E22860F9B,PaLM-E: An Embodied Multimodal Language Model,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=VTpHpqM3Cf&utm_campaign=The%20Batch&utm_source=hs_email&utm_medium=email&utm_content=284568789&_hsenc=p2ANqtz-9lsSL4nXMrOGBQqGoqktY5Yno_r9-nTOARZinDcgihFNqcOFEQb_MVtHKdpgI2AC3N8SrNW5PxcD0uxl4WeKcPJgUOgw,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-7B261B704808,PARTNR: A Benchmark for Planning and Reasoning in Embodied Multi-agent Tasks,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2411.00081,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-9679DA507624,PDFChatAnnotator: A Human-LLM Collaborative Multi-Modal Data Annotation Tool for PDF-Format Catalogs,Pending,Yes,Pending,Pending,,,,https://dl.acm.org/doi/10.1145/3640543.3645174,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-778E0EB83792,PerspectiveGap: A Benchmark for Multi-Agent Orchestration Prompting,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.08878,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-8766D3B5AFD6,Proactive Agent: Shifting LLM Agents from Reactive Responses to Active Assistance,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=sRIU6k2TcU,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-E540ED94D93D,Progressive Ideation using an Agentic AI Framework for Human-AI Co-Creation (MIDAS),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2601.00475,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-9C1E5C5352DF,Prototypical Human-AI Collaboration Behaviors from LLM-Assisted Writing in the Wild,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2505.16023,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-589CAE49FEF9,Re-Centering Humans in LLM Personalization,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.06614,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F1BC34347FF2,RECODE-H: A Benchmark for Research Code Development with Interactive Human Feedback,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2510.06186,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-BF157A5B8CE4,Reframing LLM Agent Security as an Agent-Human Interaction Problem,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.24309,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-7D20B284A65F,Reinforcing Human Behavior Simulation via Verbal Feedback (DITTO & SOUL),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.20506,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-31F7D0F06F27,REVECA: Adaptive Planning and Trajectory-based Validation in Cooperative Language Agents using Information Relevance and Relative Proximity,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2405.16751,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-EA3008952FE0,Safe Multi-agent Reinforcement Learning with Natural Language Constraints,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2405.20018,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-8AF9F5C774AA,SalesSim: Benchmarking and Aligning Multimodal Language Models as Retail User Simulators,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.08334,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-9373B7410120,SOTOPIA: Interactive Evaluation for Social Intelligence in Language Agents,Pending,Yes,Pending,Pending,,,,https://openreview.net/forum?id=mM7VurbA4r,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-FD19E6D06C96,SPHERE: An Evaluation Card for Human-AI Systems,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2504.07971,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-EC4A2ED9764C,SWEET-RL: Training Multi-Turn LLM Agents on Collaborative Reasoning Tasks,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2503.15478,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-84B6E8816340,SymbioticRAG: Enhancing Document Intelligence Through Human-LLM Symbiotic Collaboration,Pending,Yes,Pending,Pending,,,,https://web3.arxiv.org/abs/2505.02418,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-D19212BC55B0,To Help or Not to Help: LLM-based Attentive Support for Human-Robot Group Interactions,Pending,Yes,Pending,Pending,,,,https://ieeexplore.ieee.org/abstract/document/10801517,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-DAE52C72AF2E,Towards Modeling Human-Agentic Collaborative Workflows: A BPMN Extension,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2412.05958,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-6B375620F05B,Training LLM Agents to Empower Humans,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2510.13709,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-D8C816D1E0C7,Training Proactive and Personalized LLM Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2511.02208,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-3717D5F201B9,Uncertainty-Aware Clarification in LLM Agents with Information Gain,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.03135,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-F7B93EF4142D,Uncertainty Decomposition for Clarification Seeking in LLM Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2606.19559,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-36588A821BE5,User Preference Modeling for Conversational LLM Agents: Weak Rewards from Retrieval-Augmented Interaction (VARS),Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2603.20939,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-A74FB31E13AF,UserBench: An Interactive Gym Environment for User-Centric Agents,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2507.22034,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-C7370A263994,UserRL: Training Proactive User-Centric Agent via Reinforcement Learning,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2509.19736,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-BB5531AED203,Value of Information: A Framework for Human-Agent Communication,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2601.06407,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-4388C640E4B8,VitaBench 2.0: Evaluating Personalized and Proactive Agents in Long-Term User Interactions,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2605.27141,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-293F1643C176,ViviDoc: Generating Interactive Documents through Human-Agent Collaboration,Pending,Yes,Pending,Pending,,,,https://arxiv.org/pdf/2603.01912,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-B0D03D3BB94B,WebCanvas: Benchmarking Web Agents in Online Environments,Pending,Yes,Pending,Pending,,,,https://arxiv.org/pdf/2406.12373,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-66BB71E5DDBE,WebLINX: Real-World Website Navigation with Multi-Turn Dialogue,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2402.05930,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
ACL26-W-589A20C57AE3,When Users Change Their Mind: Evaluating Interruptible Agents in Long-Horizon Web Navigation,Pending,Yes,Pending,Pending,,,,https://arxiv.org/abs/2604.00892,Repository-level connected-component dedup complete; independent identity verification and human screening not performed
