Paper_ID,Title,Authors,Year,Venue,Publication_Type,DOI,URL,Database,Query_ID,Search_Date,Access_or_License,Objective,Domain,Study_Design,Data_or_Corpus,Sample,Artifact_or_System,Baseline,Metrics,Main_Results,Authors_Conclusions,Authors_Limitations,Taxonomy_Tags,SQ_Map,Plan_Map,Use_Case_Map,Gap_Evidence,Quality_Rating,Transferability,Researcher_Synthesis,Inclusion_Decision,Exclusion_Reason,Follow_Up,Reviewer,Review_Date
ACL26-W-515C64813781,aiXiv: A Next-Generation Open Access Ecosystem for Scientific Discovery Generated by AI Scientists,,2025,arXiv 2025,,,https://arxiv.org/abs/2508.15126,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-3377393DBDBC,Aligning LLM Agents by Learning Latent Preference from User Edits,,2024,NeurIPS 2024,,,https://openreview.net/forum?id=DlYNGpCuwa,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ2; verify identity, then complete blind title/abstract review",,
ACL26-W-63CEFF1304B3,An LLM-based approach for Enabling Seamless Human-Robot Collaboration in Assembly,,2024,,,,https://www.sciencedirect.com/science/article/pii/S000785062400012X,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Delegation; Demonstration, Refinement; During Task; Guidance, Corrective; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-50722DD72D20,APIGen-MT: Agentic Pipeline for Multi-Turn Data Generation via Simulated Agent-Human Interplay,,2025,arXiv 2025,,,https://arxiv.org/abs/2504.03601,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-59A397CFEBE2,Ask-before-Plan: Proactive Language Agents for Real-World Planning,,2024,EMNLP 2024,,,https://aclanthology.org/2024.findings-emnlp.636/,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Coordination; Demonstration, Critique; During Task; Guidance; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-D9ACE8823B34,Ask or Assume? Uncertainty-Aware Clarification-Seeking in Coding Agents,,2026,arXiv 2026,,,https://arxiv.org/abs/2603.26233,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Cooperation; Demonstration, Critique; During Task; Guidance; Hierarchical; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; verify identity, then complete blind title/abstract review",,
ACL26-W-3CA54311D04A,AssistantX: An LLM-Powered Proactive Assistant in Collaborative Human-Populated Environment,,2024,arXiv 2024,,,https://arxiv.org/abs/2409.17655,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Asynchronous; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Decentralized; Delegation; Holistic; Human Control; Implicit; Initial Setup; Message Pool; One-by-One,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; verify identity, then complete blind title/abstract review",,
ACL26-W-C0F40871570A,Autonomous Evaluation and Refinement of Digital Agents,,2024,,,,https://arxiv.org/abs/2404.06474,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Asynchronous; Binary Assessment; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Decentralized; Delegation; Evaluative; Holistic; One-by-One; Post Task,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-6C04C7D06702,AXIS: Efficient Human-Agent-Computer Interaction with API-First LLM-Based Agents,,2024,arXiv 2024,,,https://arxiv.org/abs/2409.17140,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-AB131396114B,τ-bench: A Benchmark for Tool-Agent-User Interaction in Real-World Domains,,2024,ICLR 2025,,,https://openreview.net/forum?id=roNSXZpUDN,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-906C5B07BE8D,Building Cooperative Embodied Agents Modularly with Large Language Models,,2023,ICLR 2024,,,https://arxiv.org/abs/2307.02485,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Cooperation; Decentralized; Evaluative; Holistic; Post Task; Scalar Rating; Simultaneous; Synchronous,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-B58A3C4DF2F2,Can Large Language Model Agents Simulate Human Trust Behavior?,,2024,NeurIPS 2024,,,https://arxiv.org/abs/2402.04559,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-E4BE92A91819,CentaurEval: Benchmarking Human-in-the-Loop Value in Agentic Coding,,2025,arXiv 2025,,,https://arxiv.org/abs/2512.04111,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation, Observation; Delegation, Cooperation; During Task; Guidance, Corrective; Refinements, Critique; Segment, Holistic; Simultaneous; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-3474AE13BD1A,CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,,2026,ICML 2026,,,https://arxiv.org/abs/2606.05793,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation, Observation; Cooperation, Coordination; Decentralized; During Task; Implicit, Guidance; Segment; Simultaneous; Synchronous; User Action, Critique",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-4D0DB4800AF8,CollabLLM: From Passive Responders to Active Collaborators,,2025,ICML 2025,,,https://openreview.net/forum?id=DmH4HHVb3y,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-9467D8B4B48F,Collaborative Gym: A Framework for Enabling and Evaluating Human-Agent Collaboration,,2024,arXiv 2024,,,https://arxiv.org/abs/2412.15701,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective; Decentralized; During Task; One-by-One; Refinement; Segment; Supervision, Delegation",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-28C8BBD8854D,Collaborative Memory: Multi-User Memory Sharing in LLM Agents with Dynamic Access Control,,2025,arXiv 2025,,,https://arxiv.org/abs/2505.18279v1,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ2; verify identity, then complete blind title/abstract review",,
ACL26-W-4B3108A0E53F,CollabSkill: Evaluating Human-Agent Collaboration On Real-World Tasks,,2026,arXiv 2026,,,https://arxiv.org/abs/2606.09833,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Cooperation, Delegation; Demonstration, Scalar Rating, User Action; During Task, Post Task; Guidance, Evaluative, Implicit; Holistic, Segment; One-by-One; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-3BFB45451A36,ConvCodeWorld: Benchmarking Conversational Code Generation in Reproducible Feedback Environments,,2025,ICLR 2025,,,https://arxiv.org/abs/2502.19852,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Decentralized; Demonstration, Critique; During Task; Guidance; One-by-One; Segment; Supervision, Delegation",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ2; SQ3; verify identity, then complete blind title/abstract review",,
ACL26-W-423C8B00B679,CowPilot: A Framework for Autonomous and Human-Agent Collaborative Web Navigation,,2025,NAACL 2025 Demo,,,https://arxiv.org/abs/2501.16609,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective, Implicit; Decentralized; During Task; One-by-One; Segment; Supervision, Delegation, Coordination; Synchronous; User Action, Refinement",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-35C5DACF7EE6,DigiRL: Training In-The-Wild Device-Control Agents with Autonomous Reinforcement Learning,,2024,NeurIPS 2024,,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/1704ddd0bb89f159dfe609b32c889995-Abstract-Conference.html,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Binary Assessment; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Decentralized; Delegation; During Task, Post Task; Evaluative; Holistic; One-by-One",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-70C548CF025A,Drive as You Speak: Enabling Human-Like Interaction with Large Language Models in Autonomous Vehicles,,2023,WACV 2024,,,https://arxiv.org/abs/2309.10228,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Centralized; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Delegation; Demonstration; During Task; Guidance; One-by-One; Segment; Synchronous,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-EBC77D62BDE3,ECHO: Explainable Co-editing with Human-in-the-loop Operations for Presentation Refinement,,2026,arXiv 2026,,,https://arxiv.org/abs/2606.09851,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation, Observation; Corrective, Guidance; During Task; Hierarchical; One-by-One; Refinement, Demonstration; Segment; Supervision, Cooperation; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; SQ2; verify identity, then complete blind title/abstract review",,
ACL26-W-C0AD100295F8,Effect of Adaptive Communication Support on LLM-powered Human-Robot Collaboration,,2024,arXiv 2024,,,https://arxiv.org/abs/2412.06808,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-724F6C683E77,Embodied LLM Agents Learn to Cooperate in Organized Teams,,2024,arXiv 2024,,,https://arxiv.org/abs/2403.12482,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Critique; Decentralized; Delegation; During Task; Guidance; Holistic; One-by-One; Synchronous,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-0437B1C929E7,Embodied Task Planning with Large Language Models,,2023,ICML 2023,,,https://arxiv.org/abs/2307.01848,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Asynchronous; Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Decentralized; Delegation; Demonstration, Binary Assessment; Guidance, Evaluative; Holistic, Segment; Initial Setup, Post Task; One-by-One",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-5BB72E12140C,EmoAgent: Assessing and Safeguarding Human-AI Interaction for Mental Health Safety,,2025,arXiv 2025,,,https://arxiv.org/abs/2504.09689,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-28AB5703E4A4,Enabling Self-Improving Agents to Learn at Test Time With Human-In-The-Loop Guidance,,2025,arXiv 2025,,,https://www.arxiv.org/abs/2507.17131,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective, Guidance; During Task; Hierarchical; One-by-One; Refinement, Critique; Segment; Supervision; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: SQ1; verify identity, then complete blind title/abstract review",,
ACL26-W-AA99FEC3C3CF,Enhancing Human-Robot Collaborative Assembly in Manufacturing Systems Using Large Language Models,,2024,CASE 2024,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10711843,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,"Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective, Guidance; Decentralized; Delegation; Demonstration, Refinement, Critique; Initial Setup, During Task; One-by-One; Segment; Synchronous",,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-91837228F5C3,Enhancing the LLM-Based Robot Manipulation Through Human-Robot Collaboration,,2024,RAL 2024,,,https://ieeexplore.ieee.org/document/10561501,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Collaboration; Communication; Human Feedback; Interaction; Orchestration; Conversation; Corrective; Decentralized; Delegation; During Task; Holistic; One-by-One; Refinement; Synchronous,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
ACL26-W-D41B8F50CF09,Experimental Exploration: Investigating Cooperative Interaction Behavior Between Humans and Large Language Model Agents,,2025,arXiv 2025,,,https://arxiv.org/abs/2503.07320,Pinned ACL 2026 taxonomy repository,ACL-CORPUS-001,2026-08-15,Public repository metadata; article access not assessed,Pending human review,,,,,,,,Pending full-text review,Pending full-text review,Pending full-text review,Communication; Human Feedback; Interaction; Orchestration; Conversation; Coopetition; Decentralized; During Task; Implicit; One-by-One; Segment; Synchronous; User Action,,,,Pending full-text review,Not assessed,Not assessed,Pending human review,Pending human title/abstract review,,"Provisional machine suggestion: Unmapped; canonical RQ wording unresolved; verify identity, then complete blind title/abstract review",,
